title,address,neighborhood,street,city,postalCode,countryCode,website,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName,totalRating,reviewsCount
Levi's,"B5 Designer Outlet Center, Alter Spandauer Weg 1, 14641 Wustermark, Germany",Wustermark,"B5 Designer Outlet Center, Alter Spandauer Weg 1",Wustermark,14641,DE,https://locations.levi.com/de-de/de-bb/wustermark/denim_wustermark_de-bb_4646.html,+49 33234 24355,4.93E+11,52.5396051,12.9808194,"GXQJ+R8 Wustermark, Germany",Clothing store,4.3,739
Levi's® Magdeburg,"Ernst-Reuter-Allee 11, 39104 Magdeburg, Germany",Altstadt,Ernst-Reuter-Allee 11,Magdeburg,39104,DE,https://locations.levi.com/de-de/de-st/magdeburg/denim_magdeburg_de-st_5141.html,+49 391 59753744,4.94E+12,52.1298987,11.6373767,"4JHP+XX Magdeburg, Germany",Clothing store,4.7,38
Levi's,"Memhardstraße 7, 10178 Berlin, Germany",Mitte,Memhardstraße 7,Berlin,10178,DE,https://locations.levi.com/de-de/de-be/berlin/denim_berlin_de-be_4055.html,+49 30 30875507,4.93E+11,52.52381,13.40976,"GCF5+GW Berlin, Germany",Clothing store,3.7,238
Levi's,"Tauentzienstraße 21-24, 10789 Berlin, Germany",Tempelhof-Schöneberg,Tauentzienstraße 21-24,Berlin,10789,DE,https://www.levi.com/DE/de_DE/,,,52.5012684,13.340607,"G82R+G6 Berlin, Germany",Clothing store,5,1
Levi's,"Kurfürstendamm 237, 10719 Berlin, Germany",Charlottenburg-Wilmersdorf,Kurfürstendamm 237,Berlin,10719,DE,https://locations.levi.com/de-de/de-be/berlin/denim_berlin_de-be_4612.html,+49 30 88553898,4.93E+11,52.5042341,13.3348783,"G83M+MX Berlin, Germany",Clothing store,3.9,493
Levi's® Berlin Das Schloss,"Schloßstraße 34/Unit 53, 12163 Berlin, Germany",Steglitz-Zehlendorf,Schloßstraße 34/Unit 53,Berlin,12163,DE,https://www.levi.com/,+49 30 58582895,4.93E+11,52.4575905,13.3203174,"F85C+24 Berlin, Germany",Clothing store,4,31
Levi's® Schwerin Schlosspark-Center,"Marienpl. 4, 19053 Schwerin, Germany",,Marienpl. 4,Schwerin,19053,DE,https://www.levi.com/,+49 385 2026515,4.94E+11,53.6281966,11.4097659,"JCH5+7W Schwerin, Germany",Clothing store,3.9,29
Levi's® Kiel,"Mühlendamm 1/Unit 57, 24113 Kiel, Germany",Russee - Hammer,Mühlendamm 1/Unit 57,Kiel,24113,DE,https://locations.levi.com/de-sh/kiel/denim_kiel_de-sh_5685.html,+49 431 39414003,4.94E+12,54.3135168,10.099554,"837X+CR Kiel, Germany",Clothing store,5,9
Levi's® Erlangen,"Nürnberger Str. 7, 91052 Erlangen, Germany",,Nürnberger Str. 7,Erlangen,91052,DE,https://locations.levi.com/de-de/de-by/erlangen/denim_erlangen_de-by_5069.html,+49 9131 4088530,4.99E+12,49.5928652,11.0043699,"H2V3+4P Erlangen, Germany",Clothing store,4.2,62
Levi's Nuernberg,"Breite G. 58, 90402 Nürnberg, Germany",Mitte,Breite G. 58,Nuremberg,90402,DE,https://locations.levi.com/de-de/de-by/nurnberg/denim_nurnberg_de-by_4065.html,+49 911 2448800,4.99E+11,49.4501989,11.0746661,"F32F+3V Nuremberg, Germany",Clothing store,4.2,105
Levi's® Factory Outlet Wertheim,"Factory Outlet Wertheim Village - Almosenberg Shop 15/16, 97877 Wertheim, Germany",,Factory Outlet Wertheim Village - Almosenberg Shop 15/16,Wertheim am Main,97877,DE,https://locations.levi.com/de-de/de-bw/wertheim/denim_wertheim_de-bw_4002.html,+49 9342 859470,4.99E+11,49.7751196,9.5776226,"QHGH+22 Wertheim am Main, Germany",Clothing store,4.2,289
Levi's Sendlinger Straße,"Sendlinger Str. 50, 80331 München, Germany",Altstadt-Lehel,Sendlinger Str. 50,Munich,80331,DE,https://locations.levi.com/de-de/de-bb/munchen/denim_munchen_de-bb_4062.html,+49 89 23001737,4.99E+11,48.134682,11.5687045,"4HM9+VF Munich, Germany",Clothing store,4,224
Levi's® Freiburg,"Kaiser-Joseph-Straße 192, 79098 Freiburg im Breisgau, Germany",Mitte,Kaiser-Joseph-Straße 192,Freiburg im Breisgau,79098,DE,https://locations.levi.com/de-de/de-bw/freiburg/denim_freiburg_de-bw_5215.html,+49 761 28529983,4.98E+12,47.9961599,7.8507475,"XVW2+F7 Freiburg im Breisgau, Germany",Clothing store,4.6,48
Levi's Neuhauser Straße,"Neuhauser Str. 41, 80331 München, Germany",Altstadt-Lehel,Neuhauser Str. 41,Munich,80331,DE,https://locations.levi.com/de-de/de-bb/munchen/denim_munchen_de-bb_4052.html,+49 89 24231798,4.99E+11,48.1386947,11.5673157,"4HQ8+FW Munich, Germany",Clothing store,4.3,272
Levi's® Singen Cano,"Bahnhofstraße, 78224 Singen (Hohentwiel), Germany",,Bahnhofstraße,Singen,78224,DE,https://locations.levi.com/de-de/de-bw/singen/denim_singen_de-bw_5251.html,+49 7731 9759226,4.98E+12,47.76038,8.8429,"QR6V+55 Singen, Germany",Clothing store,4.3,41
Levi's® Konigstrasse,"Königstraße 21, 70173 Stuttgart, Germany",Stuttgart-Mitte,Königstraße 21,Stuttgart,70173,DE,https://locations.levi.com/de-de/de-bw/stuttgart/denim_stuttgart_de-bw_5235.html,+49 711 78150024,4.97E+12,48.7765607,9.1767708,"Q5GG+JP Stuttgart, Germany",Clothing store,3.7,89
Levi's,"Reutlinger Str. 36, 72555 Metzingen, Germany",,Reutlinger Str. 36,Metzingen,72555,DE,https://www.outletcity.com/de/metzingen/marken-outlet-levis/,+49 7123 9744849,4.97E+12,48.5365373,9.2819326,"G7PJ+JQ Metzingen, Germany",Clothing store,4.4,786
Levi's® Ulm,"Hirschstraße 16, 89073 Ulm, Germany",,Hirschstraße 16,Ulm,89073,DE,https://www.levi.com/,+49 731 98424005,4.97E+12,48.3983109,9.9888602,"9XXQ+8G Ulm, Germany",Clothing store,4,4
Levi's® Konstanz,"Bodanstraße 1, 78462 Konstanz, Germany",Altstadt,Bodanstraße 1,Konstanz,78462,DE,https://locations.levi.com/de-de/de-bw/konstanz/denim_konstanz_de-bw_5176.html,+49 7531 9188361,4.98E+12,47.6573823,9.1759399,"M54G+X9 Konstanz, Germany",Clothing store,4.1,59
Levi's® Outlet Radolfzell Seemaxx,"Schützenstraße 50, 78315 Radolfzell am Bodensee, Germany",,Schützenstraße 50,Radolfzell,78315,DE,https://locations.levi.com/de-de/de-bw/radolfzellambodensee/denim_radolfzell-am-bodensee_de-bw_4729.html,+49 7732 938777,4.98E+11,47.7436818,8.972583,"PXVF+F2 Radolfzell, Germany",Clothing store,4.1,146
Levi's® Outlet Wertheim Pop-Up,"Almosenberg unit 52-54, 97877 Wertheim, Germany",,Almosenberg unit 52-54,Wertheim am Main,97877,DE,https://www.levi.com/,,,49.7732487,9.5785398,"QHFH+7C Wertheim am Main, Germany",Clothing store,5,1
Levi's® Kempten,"August-Fischer-Platz 1, 87435 Kempten (Allgäu), Germany",,August-Fischer-Platz 1,Kempten,87435,DE,https://locations.levi.com/de-de/de-by/kempten/denim_kempten_de-by_6045.html,+49 831 52622805,4.98E+12,47.7209345,10.3148083,"P8C7+9W Kempten, Germany",Clothing store,4.2,13
Levi's® Bayreuth,"Hohenzollernring 58, 95444 Bayreuth, Germany",,Hohenzollernring 58,Bayreuth,95444,DE,https://locations.levi.com/de-de/de-by/bayreuth/denim_bayreuth_de-by_5192.html,+49 921 50750294,4.99E+12,49.9457433,11.5690909,"WHW9+7J Bayreuth, Germany",Clothing store,4.9,35
Levi's® Dresden Altmarkt-Galerie,"Webergasse 1, 01067 Dresden, Germany",Altstadt,Webergasse 1,Dresden,1067,DE,https://www.levi.com/,+49 351 49766966,4.94E+12,51.0500476,13.7354322,"3P2P+25 Dresden, Germany",Clothing store,4,68
Levi's® Erfurt,"Anger 66 - 73, 99084 Erfurt, Germany",Altstadt,Anger 66 - 73,Erfurt,99084,DE,https://locations.levi.com/de-de/de-sh/erfurt/denim_erfurt_de-sh_4068.html,+49 361 64438032,4.94E+12,50.9772028,11.0349847,"X2GM+VX Erfurt, Germany",Clothing store,4.2,107
Levi's® Leipzig Nova Eventis,"Nova Shopping Center, 06237 Leuna, Germany",Günthersdorf,Nova Shopping Center,Leuna,6237,DE,https://locations.levi.com/de-st/leunaotgunthersdorf/denim_leuna-ot-gunthersdorf_de-st_6090.html,+49 34638 664663,4.93E+12,51.3436886,12.1776573,"85VH+F3 Leuna, Germany",Clothing store,4.1,18
Levi's® Leipzig,"Grimmaische Str. 14, 04109 Leipzig, Germany",Mitte,Grimmaische Str. 14,Leipzig,4109,DE,https://locations.levi.com/de-de/de-sl/leipzig/denim_leipzig_de-sl_4041.html,+49 341 2254226,4.93E+11,51.3394426,12.3786666,"89QH+QF Leipzig, Germany",Clothing store,4.4,198
Levi's® Parsdorf Outlet,"Heimstettener Str. 1, 85599 Vaterstetten, Germany",Parsdorf,Heimstettener Str. 1,Vaterstetten,85599,DE,https://locations.levi.com/de-de/de-by/parsdorf/denim_parsdorf_de-by_6022.html,+49 89 90429992,4.99E+11,48.1462814,11.7814318,"4QWJ+GH Vaterstetten, Germany",Clothing store,3.2,28
Levi's® Jettingen-Scheppach,"Siemensstraße 2/Shop 8, 89343 Jettingen-Scheppach, Germany",Scheppach,Siemensstraße 2/Shop 8,Jettingen-Scheppach,89343,DE,https://locations.levi.com/de-by/jettingen-scheppach/denim_jettingen-scheppach_de-by_5701.html,+49 8225 9584921,4.98E+12,48.4099184,10.4440077,"CC5V+XJ Jettingen-Scheppach, Germany",Clothing store,4.9,37
Levi's® Regensburg DEZ,"Weichser Weg, 93059 Regensburg, Germany",,Weichser Weg,Regensburg,93059,DE,https://www.levi.com/,+49 941 70601106,4.99E+12,49.026573,12.1163991,"24G8+JH Regensburg, Germany",Clothing store,4.6,18
Levi's® Factory Outlet Rottendorf,"Am Moritzberg 1, 97228 Rottendorf, Germany",,Am Moritzberg 1,Rottendorf,97228,DE,https://locations.levi.com/de-de/de-by/rottendorf/denim_rottendorf_de-by_5656.html,+800 5384 7501,80053847501,49.7865434,10.0311827,"Q2PJ+JF Rottendorf, Germany",Clothing store,4.1,13
Levi's® Nuernberg Karolinen Strasse,"Karolinenstraße 42-44, 90402 Nürnberg, Germany",Mitte,Karolinenstraße 42-44,Nuremberg,90402,DE,https://locations.levi.com/de-de/de-by/nuernberg/denim_nuernberg_de-by_5640.html,+49 911 2448800,4.99E+11,49.4512508,11.0734477,"F32F+G9 Nuremberg, Germany",Clothing store,4.5,26
Lee & Wrangler Outlet Store,"Kanalstraße 6, 72555 Metzingen, Germany",,Kanalstraße 6,Metzingen,72555,DE,https://eu.lee.com/de-de/home,+49 1515 6022297,4.92E+12,48.5359688,9.282292,"G7PJ+9W Metzingen, Germany",Clothing store,4.1,26
Levi's,"Tilsiter Str. 15, 71065 Sindelfingen, Germany",,Tilsiter Str. 15,Sindelfingen,71065,DE,https://locations.levi.com/de-de/de-bw/sindelfingen/denim_sindelfingen_de-bw_4054.html,+49 7031 7648290,4.97E+12,48.7042614,9.0313286,"P23J+PG Sindelfingen, Germany",Clothing store,4.1,87
Levi's®,"Berliner Str. 1/Unit 23 /24, 06796 Sandersdorf-Brehna, Germany",Brehna,Berliner Str. 1/Unit 23 /24,Sandersdorf-Brehna,6796,DE,https://locations.levi.com/de-de/de-st/sandersdorf-brehna/denim_sandersdorf-brehna_de-st_4434.html,+49 34954 318810,4.93E+12,51.5540209,12.192956,"H53V+J5 Sandersdorf-Brehna, Germany",Clothing store,4.2,234
Levi's® Outlet Ingolstadt Village,"Otto Hahn Str 1/Unit 77+78, 85055 Ingolstadt, Germany",,Otto Hahn Str 1/Unit 77+78,Ingolstadt,85055,DE,https://locations.levi.com/de-de/de-by/ingolstadt/denim_ingolstadt_de-by_4620.html,+49 841 9317804,4.98E+11,48.7834898,11.4775982,"QFMH+92 Ingolstadt, Germany",Clothing store,3.8,246
LEVI'S Outlet,"Naundorfer Str. 46, 01987 Schwarzheide, Germany",Schwarzheide West,Naundorfer Str. 46,Schwarzheide,1987,DE,https://locations.levi.com/de-de/de-bb/schwarzheide/denim_schwarzheide_de-bb_6005.html,+49 35752 834982,4.94E+12,51.4698191,13.8696459,"FV99+WV Schwarzheide, Germany",Clothing store,4.8,26
Levi's® Braunschweig,"Ritterbrunnen 1, 38100 Braunschweig, Germany",Innenstadt,Ritterbrunnen 1,Braunschweig,38100,DE,https://locations.levi.com/de-de/de-mv/braunschweig/denim_braunschweig_de-mv_4000.html,+49 531 26150838,4.95E+12,52.2634056,10.5289663,"7G7H+9H Braunschweig, Germany",Clothing store,4.2,77
Levi's,"Mailänder Platz 7, 70173 Stuttgart, Germany",Stuttgart-Mitte,Mailänder Platz 7,Stuttgart,70173,DE,https://locations.levi.com/de-de/de-bw/stuttgart/denim_stuttgart_de-bw_4047.html,+49 711 58537710,4.97E+12,48.7910041,9.1840923,"Q5RM+CJ Stuttgart, Germany",Clothing store,4,171
Levi's® Mannheim,"P7, Öva Passage 20-21, 68161 Mannheim, Germany",Quadrate,"P7, Öva Passage 20-21",Mannheim,68161,DE,https://locations.levi.com/de-de/de-bw/mannheim/denim_mannheim_de-bw_6024.html,+49 621 82839322,4.96E+12,49.4855181,8.4728777,"FFPF+65 Mannheim, Germany",Clothing store,4.8,72
Levi's Store,"Rathenaupl. 1a, 60313 Frankfurt am Main, Germany",Innenstadt I,Rathenaupl. 1a,Frankfurt am Main,60313,DE,https://www.levi.com/,+49 69 21655650,4.97E+11,50.1138316,8.6762124,"4M7G+GF Frankfurt am Main, Germany",Clothing store,4.2,121
Levi Strauss Germany GMBH,"Heyne Fabrik, Ludwigstraße 180A, 63067 Offenbach am Main, Germany",Nordend,"Heyne Fabrik, Ludwigstraße 180A",Offenbach,63067,DE,https://www.levistrauss.com/,,,50.1114272,8.7486428,"4P6X+HF Offenbach, Germany",Corporate office,3.9,30
Levi's® Münster,"Ludgeristraße 100, 48143 Münster, Germany",,Ludgeristraße 100,Münster,48143,DE,https://www.levi.com/,+49 251 85715938,4.93E+12,51.9606644,7.6265658,"XJ6G+7J Münster, Germany",Clothing store,4.3,78
Levi´s City Outlet,"Marktstraße 14-16, 53902 Bad Münstereifel, Germany",,Marktstraße 14-16,Bad Münstereifel,53902,DE,https://www.levi.com/,+49 2253 5466743,4.92E+12,50.5542676,6.7627569,"HQ37+P4 Bad Münstereifel, Germany",Clothing store,4,21
Levi's® Outlet Ochtrup Euregio,"Euregio Outlet Center Ochtrup, Laurenzstraße 51, 48607 Ochtrup, Germany",,"Euregio Outlet Center Ochtrup, Laurenzstraße 51",Ochtrup,48607,DE,https://locations.levi.com/de-de/de-mv/ochtrup/denim_ochtrup_de-mv_4697.html,+49 2553 973468,4.93E+11,52.2110409,7.1987749,"656X+CG Ochtrup, Germany",Clothing store,4.1,140
Levi's,"Unit00.SH.390, Adalbertstraße 100, 52062 Aachen, Germany",,"Unit00.SH.390, Adalbertstraße 100",Aachen,52062,DE,https://locations.levi.com/de-de/de-mv/aachen/denim_aachen_de-mv_4433.html,+49 241 90055245,4.92E+12,50.7746398,6.0923881,"Q3FR+VX Aachen, Germany",Clothing store,4.2,167
Levi's® Factory Outlet Montabaur,"Bahnallee 5, 56410 Montabaur, Germany",,Bahnallee 5,Montabaur,56410,DE,https://locations.levi.com/de-de/de-nw/montabaur/denim_montabaur_de-nw_4435.html,+49 2602 9476725,4.93E+12,50.4439798,7.8304323,"CRVJ+H5 Montabaur, Germany",Clothing store,3.9,58
Levi's® Bonn,"Vivatsgasse 13, 53111 Bonn, Germany",,Vivatsgasse 13,Bonn,53111,DE,https://locations.levi.com/de-de/de-mv/bonn/denim_bonn_de-mv_4796.html,+49 228 41028677,4.92E+12,50.7355435,7.0980496,"P3PX+66 Bonn, Germany",Clothing store,4.4,185
Levi's,"Am Einkaufszentrum 1, 44791 Bochum, Germany",Bochum Nord,Am Einkaufszentrum 1,Bochum,44791,DE,https://locations.levi.com/de-de/de-mv/bochum/denim_bochum_de-mv_4001.html,+49 234 92786401,4.92E+12,51.4944062,7.2819963,"F7VJ+QQ Bochum, Germany",Clothing store,4,167
Levi's® Oberhausen,"Centroallee 46a, 46047 Oberhausen, Germany",,Centroallee 46a,Oberhausen,46047,DE,https://locations.levi.com/de-de/de-mv/oberhausen/denim_oberhausen_de-mv_5058.html,+49 208 88241760,4.92E+12,51.4907302,6.8818695,"FVRJ+7P Oberhausen, Germany",Clothing store,4.5,117
Levi's Dortmund,"Westenhellweg 102-106, 44137 Dortmund, Germany",Innenstadt-West,Westenhellweg 102-106,Dortmund,44137,DE,https://locations.levi.com/en-de/de-mv/dortmund/denim_dortmund_de-mv_5651.html,+800 5384 7501,80053847501,51.5132736,7.4593609,"GF75+8P Dortmund, Germany",Clothing store,4,140
Levi's® Ehrenstrasse,"Ehrenstraße 60-64, 50672 Köln, Germany",Innenstadt,Ehrenstraße 60-64,Cologne,50672,DE,https://locations.levi.com/de-de/de-mv/koln/denim_koln_de-mv_4061.html,+49 221 2508530,4.92E+11,50.9384059,6.9421934,"WWQR+9V Cologne, Germany",Clothing store,4.1,152
Levi's Mittelstrasse,"Mittelstraße 17, 40213 Düsseldorf, Germany",Stadtbezirk 1,Mittelstraße 17,Düsseldorf,40213,DE,https://locations.levi.com/de-de/de-mv/dusseldorf/denim_dusseldorf_de-mv_4069.html,+49 211 86938136,4.92E+12,51.2243888,6.774127,"6QFF+QM Düsseldorf, Germany",Clothing store,4,113
Levi's® Essen,"Limbecker Pl. 1 A, 45127 Essen, Germany",Stadtbezirke I,Limbecker Pl. 1 A,Essen,45127,DE,https://locations.levi.com/de-de/de-mv/essen/denim_essen_de-mv_5244.html,+49 201 43894634,4.92E+12,51.4584884,7.0059991,"F254+99 Essen, Germany",Clothing store,4,137
Levi's,"Main-Taunus-Zentrum 1, 65843 Sulzbach (Taunus), Germany",Frankfurt am Main West,Main-Taunus-Zentrum 1,Sulzbach,65843,DE,https://locations.levi.com/de-de/de-he/taunus/denim_taunus_de-he_6039.html,+49 69 33995061,4.97E+11,50.1197285,8.5258141,"4G9G+V8 Sulzbach, Germany",Clothing store,3.8,92
Levi's® Koln Schildergasse,"Schildergasse 72-76, 50667 Köln, Germany",Innenstadt,Schildergasse 72-76,Cologne,50667,DE,https://locations.levi.com/de-mv/koln/denim_koln_de-mv_5846.html,+49 221 74740041,4.92E+12,50.9366219,6.9525178,"WXP3+J2 Cologne, Germany",Clothing store,4.3,181
Levi's® Frankfurt,"Zeil 106, 60313 Frankfurt am Main, Germany",Innenstadt I,Zeil 106,Frankfurt am Main,60313,DE,https://locations.levi.com/de-de/de-he/frankfurt/denim_frankfurt_de-he_5286.html,+49 69 29724995,4.97E+11,50.1147923,8.6818249,"4M7J+WP Frankfurt am Main, Germany",Clothing store,4.3,79
Levi's Store Düsseldorf,"Schadowstraße 55, 40212 Düsseldorf, Germany",Stadtbezirk 1,Schadowstraße 55,Düsseldorf,40212,DE,https://locations.levi.com/en-de/de-mv/dusseldorf/denim_dusseldorf_de-mv_5145.html,+49 211 17952999,4.92E+12,51.2267258,6.784371,"6QGM+MP Düsseldorf, Germany",Clothing store,4.3,124
Levi’s® Weil am Rhein,"Europapl. 1, 79576 Weil am Rhein, Germany",,Europapl. 1,Weil am Rhein,79576,DE,https://locations.levi.com/de-de/de-sh/weilamrhein/denim_weil-am-rhein_de-sh_5465.html,+49 7621 9368613,4.98E+12,47.5932144,7.6198469,"HJV9+7W Weil am Rhein, Germany",Clothing store,4.5,26
Levi's® Trier,"Grabenstraße 1, 54290 Trier, Germany",,Grabenstraße 1,Trier,54290,DE,https://locations.levi.com/de-de/de-nw/trier/denim_trier_de-nw_4740.html,+49 651 14555930,4.97E+12,49.75625,6.64137,"QJ4R+FG Trier, Germany",Clothing store,4.5,72
Levi's,"Hans-Bredow-Straße 19, 28307 Bremen, Germany",Osterholz,Hans-Bredow-Straße 19,Bremen,28307,DE,https://locations.levi.com/de-de/de-hb/bremen/denim_bremen_de-hb_5298.html,+49 421 40944268,4.94E+12,53.048923,8.9580906,"2XX5+H6 Bremen, Germany",Clothing store,4.2,107
Levi's® Bielefeld,"Bahnhofstraße 8, 33602 Bielefeld, Germany",Mitte,Bahnhofstraße 8,Bielefeld,33602,DE,https://locations.levi.com/de-de/de-mv/bielefeld/denim_bielefeld_de-mv_5059.html,+49 521 96236336,4.95E+12,52.0242933,8.5323992,"2GFJ+PX Bielefeld, Germany",Clothing store,4.2,63
Levi's® Hannover EAG,"Ernst-August-Platz 2, 30159 Hannover, Germany",Hanover-Mitte,Ernst-August-Platz 2,Hanover,30159,DE,https://locations.levi.com/de-de/de-mv/hannover/denim_hannover_de-mv_5128.html,+49 511 16907267,4.95E+12,52.3772226,9.7383015,"9PGQ+V8 Hanover, Germany",Clothing store,3.5,147
Levi's,"Londoner Bogen 10-90/Unit 54, 66482 Zweibrücken, Germany",Gewerbepark Flughafen Zweibrücken,Londoner Bogen 10-90/Unit 54,Zweibrücken,66482,DE,https://locations.levi.com/de-de/de-nw/zweibrucken/denim_zweibrucken_de-nw_4454.html,+49 6332 993660,4.96E+11,49.2311536,7.4040197,"6CJ3+FJ Zweibrücken, Germany",Clothing store,4.3,583
Levi's® Dresden Elbepark,"Peschelstraße 33, 01139 Dresden, Germany",Pieschen,Peschelstraße 33,Dresden,1139,DE,https://www.levi.com/,+49 351 42477201,4.94E+12,51.0850343,13.6961135,"3MPW+2C Dresden, Germany",Clothing store,4.4,10
Levi's® Heidelberg,"Hauptstraße 44, 69117 Heidelberg, Germany",Heidelberger Altstadt,Hauptstraße 44,Heidelberg,69117,DE,https://locations.levi.com/de-de/de-bw/heidelberg/denim_heidelberg_de-bw_4070.html,+49 6221 6573891,4.96E+12,49.4102653,8.6973108,"CM6W+4W Heidelberg, Germany",Clothing store,4.6,123
Levi's® Viernheim Rhein Neckar,"Robert-Schuman-Straße 8A, 68519 Viernheim, Germany",,Robert-Schuman-Straße 8A,Viernheim,68519,DE,https://locations.levi.com/de-de/de-he/viernheim/denim_viernheim_de-he_5272.html,+49 6204 9197066,4.96E+12,49.526615,8.5638397,"GHG7+JG Viernheim, Germany",Clothing store,4.2,33
