title,address,neighborhood,street,city,postalCode,state,countryCode,website,emails,phone,location/lat,location/lng,plusCode,categoryName,totalScore,reviewsCount
Levi' s,"China, Guangdong Province, Shenzhen, Luohu District, Huangbeiling Postal Code: 518001",Huangbeiling Luohu District,,Shenzhen,,Guangdong Province,CN,,,,22.548171,114.131772,,Clothing store,,
Levi's,"China, Guangdong Province, Guangzhou, Huadu District, Xiuquan Blvd, No. 36-2-3 Postal Code: 510800",Huadu District,"Xiuquan Blvd, 36-2-3",Guangzhou,510800,Guangdong Province,CN,,,,23.3783628,113.2101571,"96H6+83 Huadu District, Guangzhou, Guangdong Province, China",Clothing store,,
Levis,"158 No.10 Fu Rd, Shangxiajiu Liwan District, Guangzhou, Guangdong Province, China, 510140",Upper and lower nine Liwan District,158 No.10 Fu Rd,Guangzhou,510140,Guangdong Province,CN,https://www.levi.com/US/en_US/,,,23.113295,113.2455963,"467W+86 Liwan District, Guangzhou, Guangdong Province, China",Clothing store,,
Levi‘s,"China, Yantian District, Dameisha Lake Heart Island Outlets",Yantian District,Inside the outlet of the island in the heart of Lake Dameisha,Shenzhen,,,CN,,,,22.5954902,114.307382,,Clothing store,,
Levi‘s,"Shennan Middle Rd, bauhinia city commercial plaza Futian District, Shenzhen, Guangdong Province, China, 518027",Futian District,Shennan Middle Rd,Shenzhen,518027,Guangdong Province,CN,,,,22.5405968,114.0906155,,Clothing store,,
Levi‘s,"33 Wenxin 5th Rd, Houhai Nanshan, Shenzhen, Guangdong Province, China, 518064",Houhai Nanshan,33 Wenxin 5th Rd,Shenzhen,518064,Guangdong Province,CN,,,,22.517783,113.936262,"GW9P+4G Nanshan, Shenzhen, Guangdong Province, China",Clothing store,,
Levi's,"China, C20~21 Nanhai District, 28, Shugang Rd, 28号CN Guangdong Province Foshan City Florence Town Postal Code: 528251","28, Nanhai District","Shugang Rd, 28 CN Guangdong Province Foshan City Florence Town",C20~21,528251,,CN,,,,23.0057,113.2296,"264H+7R Nanhai District, Foshan, Guangdong Province, China",Clothing store,,
LEVI'S,"China, Jinping District, Changping Road End",Jinping District,At the end of Changping Road,Shantou,,,CN,,,,23.3621301,116.7082718,,Clothing store,,
LeVI’S,"Q76C+6PW, Shunde District, Foshan, Guangdong Province, China, 528305",Shunde District,Q76C+6PW,Foshan,,Guangdong Province,CN,,,,22.76062,113.271833,,Clothing store,,
LEVI'S,"1st Floor, Apron Shopping Plaza, Building 353, Yunxiao Road, China",Baiyun,"1st floor, No. 5 apron shopping plaza, building 353, Yunxiao Road",Guangzhou,,,CN,,,,23.179069,113.264201,"57H7+JM Baiyun, Guangzhou, Guangdong Province, China",Clothing store,,
Levi's Dongguan Guancheng Tianhong Branch,"China, CN Guangdong Dongguan City Dongzong Avenue 2nd Floor Postal Code: 523013",,CN Guangdong Dongguan City Dongzong Avenue 2nd Floor,Dongguan,523013,,CN,,,,23.03828,113.77246,"2QQC+8X Dongcheng Subdistrict, Dongguan, Dongguan, Guangdong Province, China",Clothing store,,
Levi s,"3022 Nanxin Rd, 南頭 Nanshan, Shenzhen, Guangdong Province, China, 518056",Nanshan,3022 Nanxin Rd,Shenzhen,518056,Guangdong Province,CN,,,,22.534856,113.920018,"GWMC+W2 Nanshan, Shenzhen, Guangdong Province, China",Clothing store,,
Levi's Shenzhen Longgang World Trade Branch,"China, Lou LEVIS3 CN Guangdong Shenzhen Longgang District Longgang Central City Longxiang Avenue Postal Code: 518172",Longgang,Building LEVIS3 CN Guangdong Province Shenzhen Longgang District Longgang Central City Longxiang Avenue,Shenzhen,518172,,CN,,,,22.71603,114.24535,"P68W+C4 Longgang, Shenzhen, Guangdong Province, China",Clothing store,,
Levi’s,"No. 37 Nonglinxia Rd, Nonglinxia Rd, Nonglinxia Road Yuexiu District, Guangzhou, Guangdong Province, China, 510062",Yuexiu District,37 Nonglinxia Rd,Guangzhou,510062,Guangdong Province,CN,,,,23.1295375,113.2975172,"47HX+R2 Yuexiu District, Guangzhou, Guangdong Province, China",Clothing store,,
LEVI'S,"395 Zhongshansi Rd, 北京路 Yuexiu District, Guangzhou, Guangdong Province, China, 510055",Beijing Road Yuexiu District,395 Zhongshansi Rd,Guangzhou,510055,Guangdong Province,CN,,,,23.1254533,113.2693401,"47G9+5P Yuexiu District, Guangzhou, Guangdong Province, China",Clothing store,,
Levi's Exclusive,"Baihua Plaza, 33 Zumiao Rd, 祖廟 Chancheng District, Foshan, Guangdong Province, China, 528011",Ancestral temple Chancheng District,"Baihua Plaza, 33 Zumiao Rd",Foshan,528011,Guangdong Province,CN,https://www.levi.com/US/en_US/,,,23.0265463,113.1115884,"24G6+JJ Chancheng District, Foshan, Guangdong Province, China",Clothing store,,
LEVI'S,"Guangming N Rd, Panyu District, Guangzhou, Guangdong Province, China, 511405",Panyu District,Guangming N Rd,Guangzhou,511405,Guangdong Province,CN,,,,22.9602757,113.3608786,,Clothing store,,
LEVI'S,"Tee Mall (Beijing Road Branch), 北京路 Yuexiu District, Guangzhou, Guangdong Province, China, 510115",Beijing Road Yuexiu District,Tee Mall （Beijing Road Branch）,Guangzhou,,Guangdong Province,CN,,,,23.122963,113.2695461,"47F9+5R Yuexiu District, Guangzhou, Guangdong Province, China",Clothing store,,
LEVI'S,"China, Guangdong Province, Guangzhou, Tianhe District, Huacheng Blvd, AutoNavi Land Plaza (East Gate) Postal Code: 510623",Tianhe District,"Huacheng Blvd, AutoNavi Land Plaza (East Gate)",Guangzhou,510623,Guangdong Province,CN,,,,23.1193379,113.327533,"489H+P2 Tianhe District, Guangzhou, Guangdong Province, China",Clothing store,,
Levi’s,"398 Wanda Plaza Yuncheng South 3 Rd, Baiyun, Guangzhou, Guangdong Province, China, 510422",Baiyun,398 Wanda Plaza Yuncheng South 3 Rd,Guangzhou,510422,Guangdong Province,CN,,,,23.17252,113.26684,"57F8+2P Baiyun, Guangzhou, Guangdong Province, China",Clothing store,,
LEVI'S,"228 Tianhe Rd, Tianhe District, Guangzhou, Guangdong Province, China, 510620","Tianhe District, Tianhe River",228 Tianhe Rd,Guangzhou,510620,Guangdong Province,CN,,,,23.1333468,113.3263203,"48MG+8G Tianhe District, Guangzhou, Guangdong Province, China",Clothing store,,
LEVI'S,"498 Baogang Blvd, Jiangnan Avenue Haizhu District, Guangzhou, Guangdong Province, China, 510240",Jiangnan Avenue Haizhu District,498 Baogang Blvd,Guangzhou,510240,Guangdong Province,CN,,,,23.0888821,113.2691823,"37Q9+HM Haizhu District, Guangzhou, Guangdong Province, China",Clothing store,,
Levi's® (Shape Point I Store),"Shop 1105, Level 1, YOHO MALL I, Yuen Long, Hong Kong",,"Shop 1105, Level 1, YOHO MALL I",Yuen Long,,,HK,http://www.levi.com.hk/,,+852 3188 5416,22.4445376,114.0222076,"C2VC+RV Yuen Long, Hong Kong",Clothing store,3,2
LEVI'S,"57RH+FH2, Yuncheng E Rd, Baiyun, Guangzhou, Guangdong Province, China, 510440",Baiyun Food Culture Corridor Baiyun,"57RH+FH2, Yuncheng E Rd",Guangzhou,510440,Guangdong Province,CN,,,,23.1911458,113.278888,,Clothing store,,
Levi's,"China, Guangdong Province, Dongguan, Guanghui Avenue Fenggang Town Longping South Road No. 1 Yitian Holiday World Shopping Center",,"Guanghui Avenue, Fenggang Town, Longping South Road, Yitian Holiday World Shopping Center",Dongguan,,Guangdong Province,CN,,,,22.718854,114.206819,"P694+GP Longgang, Shenzhen, Guangdong Province, China",Clothing store,,
Levi's,"33 Zhongshansan Rd, 中国广场 Yuexiu District, Guangzhou, Guangdong Province, China, 510050",Yuexiu District,33 Zhongshansan Rd,Guangzhou,510050,Guangdong Province,CN,http://levi.cn/lcn/,,+86 20 8373 8083,23.1257026,113.2823823,"47GJ+7X Yuexiu District, Guangzhou, Guangdong Province, China",Clothing store,,
LEVI'S,"Shop L1-20, Kingkey Baina Plaza, 168 Baishi Road, China",Nanshan,"Shop L1-20, Kingkey Baina Plaza, No. 168 Baishi Road",Shenzhen,,,CN,,,,22.5305901,113.9682693,"GXJ9+68 Nanshan, Shenzhen, Guangdong Province, China",Clothing store,,
Levi＇s,"Jingshan Rd, Xiangzhou, Zhuhai, Guangdong Province, China, 519015",Xiangzhou,Jingshan Rd,Zhuhai,519015,Guangdong Province,CN,,,,22.2502945,113.5759752,,Clothing store,,
LEVI’S,"8 Taining Rd, Luohu District, Shenzhen, Guangdong Province, China, 518021",Luohu District,8 Taining Rd,Shenzhen,518021,Guangdong Province,CN,,,,22.567607,114.142036,"H49R+2R Luohu District, Shenzhen, Guangdong Province, China",Clothing store,,
Levi's,"J26J+XR3, Mintang Rd, Shenzhen, Guangdong Province, China, 518131",Bao'an District,"J26J+XR3, Mintang Rd",Shenzhen,,Guangdong Province,CN,,,,22.612394,114.032035,,Clothing store,,
Levi's,"China, CN Guangdong Shenzhen Longgang District Longgang Avenue 2999 2999 Linheng Central Plaza W107/151 Postal Code: 518115",Longgang,CN Guangdong Shenzhen Longgang District Longgang Avenue 2999 2999 Linheng Central Plaza W107/151,Shenzhen,518115,,CN,,,,22.6364,114.18469,"J5PM+HV Longgang, Shenzhen, Guangdong Province, China",Clothing store,,
Levi's,"9028 Shennan Blvd, OCT Nanshan, Shenzhen, Guangdong Province, China, 518058",OCT Nanshan,9028 Shennan Blvd,Shenzhen,518058,Guangdong Province,CN,,,,22.537587,113.976031,"GXQG+2C Nanshan, Shenzhen, Guangdong Province, China",Clothing store,,
Levi's® (Festival Walk),"Hong Kong, Kowloon Tong, 1, Festival WalkShop 10, Level",,"1, Festival WalkShop 10, Level",Kowloon Tong,,,HK,http://www.levi.com.hk/,,+852 3755 0451,22.3375044,114.174745,"85QF+2V Kowloon Tong, Hong Kong",Clothing store,4.3,3
Levi’s,"China, Guangdong Province, Shenzhen, Luohu District, Caiwuwei",Cai Wuwei Luohu District,,Shenzhen,,Guangdong Province,CN,,,,22.538883,114.111475,,Clothing store,,
Levi’s,"Shop 301, Level, 3 Landmark North, Sheung Shui, Hong Kong",,"Shop 301, Level, 3 Landmark North",Sheung Shui,,,HK,http://www.levi.com.hk/,,+852 2668 6350,22.502456,114.128122,"G42H+X6 Sheung Shui, Hong Kong",Clothing store,4,7
Levi's® (Metro City Centre Phase 2),"Hong Kong, Tseung Kwan O, Yan King Rd, Metro City Plaza II, Shop 1167-1168, 1/F., Phase II",,"Yan King Rd, Metro City Plaza II, Shop 1167-1168, 1/F., Phase II",Tseung Kwan O,,,HK,http://www.levi.com.hk/,,+852 3194 3500,22.3241364,114.2571874,"87F4+MV Tseung Kwan O, Hong Kong",Clothing store,3,2
Levi's® (Chishiki Citistore),"City Landmark II, Shop 02-29, 2/F, CitiStore, 67-95 Tsuen Wan Market St, Tsuen Wan, Hong Kong",,"City Landmark II, Shop 02-29, 2/F, CitiStore, 67-95 Tsuen Wan Market St",Tsuen Wan,,,HK,http://www.levi.com.hk/,,+852 2944 8745,22.3712292,114.1185972,"94C9+FC Tsuen Wan, Hong Kong",Clothing store,2,5
Levi's® (Mikiki),"Mikiki, Shop G07, G/F, 638 Prince Edward Rd E, San Po Kong, Hong Kong",,"Mikiki, Shop G07, G/F, 638 Prince Edward Rd E",San Po Kong,,,HK,https://www.levi.com.hk/,,+852 3105 1768,22.3334674,114.1964631,"85MW+9H San Po Kong, Hong Kong",Clothing store,3.8,4
Levi's® Outlet (Citygate),"Shop 413, 4/F, Citygate, 20 Tat Tung Road Tung Chung, Lantau Island, Hong Kong",,"Shop 413, 4/F, Citygate, 20 Tat Tung Road Tung Chung",Lantau Island,,,HK,https://www.levi.com.hk/,,+852 2706 7193,22.2896486,113.9405428,"7WQR+V6 Lantau Island, Hong Kong",Clothing store,3.3,15
Levi's® (APM Store),"Hong Kong, Kwun Tong, Shop L3-9, 3/F, Millennium City 5, Kwun Tong",,"Shop L3-9, 3/F, Millennium City 5, Kwun Tong",Kwun Tong,,,HK,http://www.levi.com.hk/,,+852 3148 1149,22.3120014,114.2250799,"866G+R2 Kwun Tong, Hong Kong",Clothing store,4.3,6
Levi's® (Mong Kok City Centre),"G/F, 86, Sai Yeung Choi St S, Mong Kok, Hong Kong",,"Sai Yeung Choi St S, 86 G/F",Mong Kok,,,HK,http://www.levi.com.hk/,,+852 2396 0861,22.319102,114.170237,"859C+J3 Mong Kok, Hong Kong",Clothing store,2.3,10
Levi's® (Causeway Bay SOGO Store),"Hong Kong, Causeway Bay, Shop 27, 3/F, Sogo Dept. Store, Causeway Bay",,"Shop 27, 3/F, Sogo Dept. Store, Causeway Bay",Causeway Bay,,,HK,http://www.levi.com.hk/,,+852 2831 8560,22.2804838,114.1843197,"75JM+5P Causeway Bay, Hong Kong",Clothing store,5,5
Levi's (Silvercord),"Shop LG48-52, Silvercord Tsim Sha Tsui, Hong Kong",,"Shop LG48-52, Silvercord",Tsim Sha Tsui,,,HK,https://www.levi.com.hk/,,+852 3101 0531,22.2974522,114.1690913,"75W9+XJ Tsim Sha Tsui, Hong Kong",Clothing store,4.2,9
Levi's® (Langham Place),"Hong Kong, Mong Kok, Shanghai St, Langham Place Shopping Mall, Shop 7-8, Level 5",,"Shanghai St, Langham Place Shopping Mall, Shop 7-8, Level 5",Mong Kok,,,HK,http://www.levi.com.hk/,,+852 3460 3859,22.3182061,114.1684443,"8599+79 Mong Kok, Hong Kong",Clothing store,2.7,12
Levi's® (The Venetian Macao),"Estrada da Baia de Nossa Senhora da Esperanca, Macao",,Estrada da Baia de Nossa Senhora da Esperanca,,,,MO,,,,22.1478166,113.5601321,"4HX6+43 Cotai, Macao",Clothing store,4,1
Levi's® (MOKO),"Hong Kong, Mong Kok, HK 九龍 旺角 Shop 239, Level 2, MOKO",,"HK Kowloon Mong Kok Shop 239, Level 2, MOKO",Mong Kok,,,HK,http://www.levi.com.hk/,,+852 3188 3053,22.3232033,114.1725947,"85FF+72 Mong Kok, Hong Kong",Clothing store,4.7,3
Levis,"No. 168 Chia Tai Plaza East District 09A Lujiazui W Rd, Lujiazui, Pudong, Shanghai, China, 200120",Lujiazui,"168A Lujiazui W Rd, East District, Chia Tai Plaza",Pudong,200120,Shanghai,CN,http://www.chinasspp.com/brand/2793/,,,31.23746,121.50014,"6GP2+X3 Pudong, Shanghai, China",Clothing store,,
LEVI'S,"China, 1st Floor, 818 Plaza, No. 818 West Nanjing Road",Hisamitsu,"1st floor, 818 Plaza, No. 818 West Nanjing Road",Jing'An,,,CN,,,,31.222775,121.446311,"6CFW+4G Jing'An, Shanghai, China",Clothing store,,
LEVI'S,"168 Lujiazui W Rd, Lujiazui, Pudong, Shanghai, China, 200120",Lujiazui,168 Lujiazui W Rd,Pudong,200120,Shanghai,CN,,,,31.235988,121.498118,"6FPX+96 Pudong, Shanghai, China",Clothing store,,
Levi's,"China, CN Shandong Qingdao Shibei District Hefei Road 672 672 2F, AEON Plaza Postal Code: 266103",Shibei District,"CN 2nd Floor, AEON Plaza, No. 672 672 Hefei Road, Shibei District, Qingdao City, Shandong Province",Qingdao,266103,,CN,,,,36.1108,120.41416,"4C67+8M Shibei District, Qingdao, Shandong, China",Clothing store,,
Levi’s,"501 Zhangyang Rd, Yaohan, Pudong, Shanghai, China, 200120",Yaohan,501 Zhangyang Rd,Pudong,200120,Shanghai,CN,http://www.chinasspp.com/brand/2793/,,,31.228009,121.516233,"6GH8+6F Pudong, Shanghai, China",Clothing store,,
LeVI’S,"6GX3+R4W, Tianya District, Sanya, Hainan, China, 572000",Tianya District,6GX3+R4W,Sanya,,Hainan,CN,,,+86 898 8825 1855,18.24961,109.502829,,Clothing store,1,1
Levi's,"China, 1, Gulou, Qingliangmen Ave, No. 1 CN Jiangsu Province Nanjing 1st Floor Huanyu City Postal Code: 210029",Gulou,"Qingliangmen Ave, No. 1 CN Jiangsu Province Nanjing City 1st Floor Huanyu City",Jiangsu,210029,,CN,,,,32.0457,118.75203,"2QW2+7R Gulou, Nanjing, Jiangsu, China",Clothing store,,
LEVI’S,"No.1-9 Changzhou Shopping Center Yanling W Rd, Tianning District, Changzhou, Jiangsu, China, 213003",Tianning District,No. 1-9 Changzhou Shopping Center Yanling W Rd,Changzhou,,Jiangsu,CN,,,,31.7749806,119.9632261,"QXF7+X7 Tianning District, Changzhou, Jiangsu, China",Clothing store,,
LEVI'S,"801 Zhangyang Rd (N), Pudong, Shanghai, China, 200129",,801 Zhangyang Rd (N),Pudong,200129,Shanghai,CN,http://www.chinasspp.com/brand/2793/,,,31.2704972,121.5874778,"7HCP+5X Pudong, Shanghai, China",Clothing store,,
Levi's,"China, CN Shandong Province Qingdao Chengyang District Zhengyang Middle Road 151 151 2nd Floor of China Resources Vientiane Hui Postal Code: 266109",Chengyang District,"CN 2nd Floor, China Resources Vientiane Hui, No. 151 Zhengyang Middle Road, Chengyang District, Qingdao City, Shandong Province",Qingdao,266109,,CN,,,,36.30623,120.41459,"8C47+FR Chengyang District, Qingdao, Shandong, China",Clothing store,,
Levi's,"China, CN Jiangsu Province Nanjing Jianye District Jiangdong Middle Road 258 258 Huacai Tiandi 4th Floor L4-27 Postal Code: 220019",Jianye District,"CN L4-27, 4th Floor, Huacai World, No. 258 258 Jiangdong Middle Road, Jianye District, Nanjing, Jiangsu Province",Nanjing,220019,,CN,,,,31.99686,118.72165,"XPWC+PM Jianye District, Nanjing, Jiangsu, China",Clothing store,,
LEVI'S,"98 Jiangdong Middle Rd, Jianye District, Nanjing, Jiangsu, China, 210036",Jianye District,98 Jiangdong Middle Rd,Nanjing,210036,Jiangsu,CN,,,,32.032105,118.735265,"2PJP+R4 Jianye District, Nanjing, Jiangsu, China",Clothing store,,
LEVI'S,"388 W Jiangwan Rd, North Station Hongkou District, Shanghai, China, 200081",North Station,388 W Jiangwan Rd,Hongkou District,200081,Shanghai,CN,http://www.chinasspp.com/brand/2793/,,,31.2711739,121.4792667,"7FCH+FP Hongkou District, Shanghai, China",Clothing store,,
Levi’s,"China, Jiangsu, Nanjing, 5th Floor, Golden Eagle International Shopping Center, No. 89 Hanzhong Road, Baixia District","Baixia District, Xinjiekou District","5th floor, Golden Eagle International Shopping Center, No. 89 Hanzhong Road",Nanjing,,Jiangsu,CN,,,+86 25 5800 8828,32.041356,118.78032,"2QRJ+G4 Qinhuai District, Nanjing, Jiangsu, China",Clothing store,,
LEVI S,"China, Bengshan District, in the top 100 shopping malls",Bengshan District,In the top 100 shopping malls,Bengbu,,,CN,,,,32.9459099,117.3637093,,Clothing store,,
LEVI'S,"18 Zhongshan Rd, 德基广场 Xuanwu, Nanjing, Jiangsu, China, 210005",Deji Square Xuanwu,18 Zhongshan Rd,Nanjing,210005,Jiangsu,CN,,,+86 800 828 9598,32.044887,118.785677,"2QVP+X7 Xuanwu, Nanjing, Jiangsu, China",Clothing store,,
Levi's,"Parkson Commercial Bldg, Zhongshan Road Business District Shinan District, Qingdao, Shandong, China, 266001",Zhongshan Road Business District Shinan District,Parkson Commercial Bldg,Qingdao,,Shandong,CN,,,,36.0660539,120.3181447,,Clothing store,,
LEVI'S,"China, Shanghai, Jing'An, CITIC Pacific Plaza, Nanjing West Road Postal Code: 200041",Nanjing West Road,CITIC Pacific Plaza,Jing'An,,Shanghai,CN,,,,31.2281106,121.4557056,,Clothing store,,
LEVI'S,"China, multiple branches",Shuimogou District,Multiple branches,Ürümqi,,,CN,,,,43.8287881,87.6045204,,Clothing store,,
Levi's,"RGR9+X9C, CN Xinjiang Uygur Autonomous Region Urumqi City, Saybag District, 1B09, China, 830015",Saybag District,"RGR9+X9C, CN Xinjiang Uygur Autonomous Region Urumqi City",1B09,830015,,CN,,,,43.84243,87.51839,,Clothing store,,
LevIs,"436 Wanbao St, Hongqi Street Chaoyang District, Changchun, Changchun, Jilin, China, 130061",#CONNECT!,436 Wanbao St,Changchun,130061,Jilin,CN,https://www.levi.com/US/en_US/,,,43.8780438,125.3014528,"V8H2+6H Chaoyang District, Changchun, Changchun, Jilin, China",Clothing store,,
levis,"China, Jilin, Changchun, Nanguan District, Chongqing Rd, 618 Yatai Fuyuan Shopping Center Postal Code: 130042",Nanguan District,"Chongqing Rd, 618 Yatai Fu Yuen Shopping Center",Changchun,,Jilin,CN,https://www.levi.com/US/en_US/,,,43.8912021,125.3269226,"V8RG+FQ Nanguan District, Changchun, Jilin, China",Clothing store,,
LEVIS,"RG6G+FCW, Shibo Rd, Songbei District, Harbin, Heilongjiang, China, 150025",Songbei District,"RG6G+FCW, Shibo Rd",Harbin,150025,Heilongjiang,CN,https://www.levi.com/US/en_US/,,,45.8112279,126.5260794,,Clothing store,,
LEVI’S,"XFQG+FMM, Guangshun S St, Wangjing Chaoyang, Beijing, China, 100102",Wangjing,"XFQG+FMM, Guangshun S St",Chaoyang,100102,Beijing,CN,,,+86 10 8476 4499,39.9887019,116.4766655,,Clothing store,,
Levi’S,"1 Jianguomen Outer St, Guomao, Chaoyang, Beijing, China, 100020",Guomao,1 Jianguomen Outer St,Chaoyang,100020,Beijing,CN,https://www.levi.com/US/en_US/,,+86 10 6505 5155,39.9095506,116.4579436,"WF55+R5 Chaoyang, Beijing, China",Clothing store,4.5,2
LEVI’S,"Jinzhanxiang, Chaoyang, Beijing, China, 100018",Jinzhanxiang,,Chaoyang,,Beijing,CN,,,,40.003005,116.568647,,Clothing store,,
LEVI’S,"39 E 3rd Ring Middle Rd, Guomao, Chaoyang, Beijing, China, 100020",Guomao,39 E 3rd Ring Middle Rd,Chaoyang,100020,Beijing,CN,,,,39.913238,116.4614106,"WF76+7H Chaoyang, Beijing, China",Clothing store,,
Levi's,"RM79+V9G, Zhongshan W Rd, Huimin District, Hohhot, Inner Mongolia, China, 010020",Huimin District,"RM79+V9G, Zhongshan W Rd",Hohhot,10020,Inner Mongolia,CN,,,,40.814686,111.6684581,,Clothing store,,
Levi's,"27-28, 2nd Floor, Wanda Department Store, Wanda Plaza, No. 5, China, Hubei, Wuhan, Jianghan District, Tangjiadun Rd, No. 5 Postal Code: 430015",Jianghan District,"Tangjiadun Rd, 5 Wanda Plaza Wanda Department Store 27-28",Wuhan,430015,Hubei,CN,,,,30.610249,114.26923,"J769+3M Jianghan District, Wuhan, Hubei, China",Clothing store,,
Levi's,"XWPQ+HVQ, Siyuan St, Pengzhou, Chengdu, Sichuan, China, 611936",Pengzhou,"XWPQ+HVQ, Siyuan St",Chengdu,611936,Sichuan,CN,,,,30.9864512,103.9397198,,Clothing store,,
Levi's,"Zhongbai Building, 7th Floor, 170 Bayi Rd, 170, Yuzhong District, Chongqing, China, 400011",170,"Zhongbai Building, 7th Floor, 170 Bayi Rd",Yuzhong District,400011,Chongqing,CN,,,,29.55716,106.5768,"HH4G+VP Yuzhong District, Chongqing, China",Clothing store,,
Levi's,"China, CN Shaanxi Province Xi'an Xincheng 166 Changle West Road No. 166 Yitian Holiday World Shopping Center L3-28 Postal Code: 710005",Xincheng,CN Shaanxi Province Xi'an Xincheng District 166 Changle West Road 166 Yitian Holiday World Shopping Center L3-28,Xi'An,710005,,CN,,,,34.26939,108.97314,"7X9F+Q7 Xincheng, Xi'An, Shaanxi, China",Clothing store,,
