title,address,neighborhood,street,city,postalCode,state,countryCode,website,emails,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName,totalScore,reviewsCount
Levi's,"Japan, 〒220-0012 Kanagawa, Yokohama, Nishi Ward, Minatomirai, 2 Chome−3−2 Tokyu Square Home1","2 Chome Minatomirai, Nishi Ward","Minatomirai, 2 Chome−3−2 Tokyu Square HOME 1",Yokohama,220-0012,Kanagawa,JP,https://levi.jp/a/store-locator/levis-store-minatomirai-tokyu-square.html,,+81 45-227-6020,81452276020,35.4561779,139.6338278,"FJ4M+FG Yokohama, Kanagawa, Japan",Clothing store,3.9,40
Levi's,"Japan, 〒192-0364 Tokyo, Hachioji, Minamiosawa, 1 Chome−600 Factory Outlets, Mitsui Outlet Park Tama Minami-Osawa 2F",1 Chome Minamiosawa,"Minamiosawa, 1 Chome−600 Factory Outlets, Mitsui Outlet Park Tama Minami-Osawa 2F",Hachioji,192-0364,Tokyo,JP,https://levi.jp/a/store-locator/levis-factory-outlet-minami-osawa.html,,+81 42-670-2721,81426702721,35.6149466,139.3780554,"J97H+X6 Hachioji, Tokyo, Japan",Clothing store,3.6,57
Levi's,"3169-1 Miyadera, Iruma, Saitama 358-0014, Japan",Miyadera,3169-1 Miyadera,Iruma,358-0014,Saitama,JP,https://levi.jp/a/store-locator/levis-factory-outlet-iruma.html,,+81 4-2902-5263,81429025263,35.8098704,139.3801412,"R95J+W3 Iruma, Saitama, Japan",Clothing store,3.6,65
Levi's,"Sakai Premium Outlets, 1740 Division, 2 Chome-4-1 Iizumi, Shisui, Inba District, Chiba 285-0912, Japan",2 Chome Iizumi,"Sakai Premium Outlets, 1740 Lot, 2 Chome-4-1 Iizumi",Shisui,285-0912,"Inba District, Chiba",JP,https://levi.jp/a/store-locator/levis-factory-outlet-shisui.html,,+81 43-496-7211,81434967211,35.7139944,140.2947414,"P77V+HV Shisui, Chiba, Japan",Clothing store,3.8,79
Levi's,"Japan, 〒389-0913 Nagano, Kitasaku District, Karuizawa, Prince Shopping Plaza West",Karuizawa,"Karuizawa, Inside Prince Shopping Plaza West",Karuizawa,389-0913,"Kitasaku District, Nagano",JP,https://levi.jp/a/store-locator/levis-factory-outlet-karuizawa.html,,+81 267-42-7644,81267427644,36.341823,138.6322469,"8JRJ+PV Karuizawa, Nagano, Japan",Clothing store,3.8,180
Levi's Factory Outlet,"Japan, 〒061-1278 Hokkaido, Kitahiroshima, Omagarisaiwaicho, 3 Chome−7−6 Mitsui Outlet Park Sapporo Kitahiroshima 2F",3 Chome Omagarisaiwaicho,"Omagarisaiwaicho, 3 Chome−7−6 Mitsui Outlet Park Sapporo Kitahiroshima 2F",Kitahiroshima,061-1278,Hokkaido,JP,https://levi.jp/a/store-locator/levis-factory-outlet-kitahiroshima.html,,+81 11-377-2923,81113772923,42.9707339,141.4713514,"XFCC+7G Kitahiroshima, Hokkaido, Japan",Clothing store,4,71
Levi's,"Japan, 〒300-1161 Ibaraki, Inashiki District, Ami, Yoshiwara, 4 Chome−1−1 Ami Premium Outlet 830 Lot",4 Chome Yoshiwara,"Yoshiwara, 4 Chome−1−1 Ami Premium Outlets 830 Lot",Ami,300-1161,"Inashiki District, Ibaraki",JP,https://levi.jp/a/store-locator/levis-factory-outlet-ami.html,,+81 29-833-6656,81298336656,35.9838851,140.2373687,"X6MP+HW Ami, Ibaraki, Japan",Clothing store,3.7,136
Levi's,"Japan, 〒343-0828 Saitama, Koshigaya, Lake Town, 4 Chome−1−1 Outlet 3 Block 1F",4 Chome Lake Town,"Lake Town, 4 Chome−1−No. 1 Outlet 3 Block 1F",Koshigaya,343-0828,Saitama,JP,https://www.levi.jp/stores?storeName=Levi's%20Factory%20Outlet%E8%B6%8A%E8%B0%B7,,+81 48-971-5879,81489715879,35.8809463,139.8250913,"VRJG+92 Koshigaya, Saitama, Japan",Clothing store,3.4,148
Levi's,"Japan, 〒160-0022 Tokyo, Shinjuku City, Shinjuku, 3 Chome−29-12 Ando Building",3 Chome Shinjuku,"Shinjuku, 3 Chome−29−12 Ando Building",Shinjuku City,160-0022,Tokyo,JP,https://levi.jp/a/store-locator/levis-store-shinjuku.html,,+81 3-5363-4501,81353634501,35.6916188,139.7028505,"MPR3+J4 Shinjuku City, Tokyo, Japan",Clothing store,3.8,109
Levi's,"Mitsui Outlet Park Sendai Port 2F, 2150 Section, 3 Chome-7-2 Nakano, Miyagino Ward, Sendai, Miyagi 983-0013, Japan","3 Chome Nakano, Miyagino Ward","Mitsui Outlet Park Sendai Port 2F, 2150 Lot, 3 Chome-7-2 Nakano",Sendai,983-0013,Miyagi,JP,https://levi.jp/a/store-locator/levis-factory-outlet-sendai-ko.html,,+81 22-259-3336,81222593336,38.2751889,140.9898179,"7XGQ+3W Sendai, Miyagi, Japan",Clothing store,4.1,8
Levi's,"1312 Fukasawa, Gotemba, Shizuoka 412-0023, Japan",Fukasawa,1312 Fukasawa,Gotemba,412-0023,Shizuoka,JP,https://levi.jp/a/store-locator/levis-factory-outlet-gotemba.html,,+81 550-84-7701,81550847701,35.3069903,138.9672147,"8X48+QV Gotemba, Shizuoka, Japan",Clothing store,3.6,137
Levi's,"Japan, 〒261-0021 Chiba, Mihama Ward, Hibino, 2 Chome−6-1 Mitsui Outlet Park Makuhari 2F 223","2 Chome Hibino, Mihama Ward","Hibino, 2 Chome−6-1 Mitsui Outlet Park Makuhari 2F 223",Chiba,261-0021,Chiba,JP,https://levi.jp/a/store-locator/levis-factory-outlet-makuhari.html,,+81 43-213-5521,81432135521,35.6471023,140.0409183,"J2WR+R9 Chiba, Japan",Clothing store,3.8,135
Levi's,"6 Chome-1 Teraoka, Izumi Ward, Sendai, Miyagi 981-3204, Japan","6 Chome Teraoka, Izumi Ward",6 Chome-1 Teraoka,Sendai,981-3204,Miyagi,JP,https://levi.jp/a/store-locator/levis-factory-outlet-sendai-izumi.html,,+81 22-377-3360,81223773360,38.3416788,140.837129,"8RRP+MV Sendai, Miyagi, Japan",Clothing store,3.7,110
LEVI'S Fukuoka Store,"Japan, 〒810-0001 Fukuoka, Chuo Ward, Tenjin, 2 Chome−5−16 TENJIN216 1F","2 Chome Tenjin, Chuo Ward","Tenjin, 2 Chome−5−16 TENJIN216 1F",Fukuoka,810-0001,Fukuoka,JP,https://levi.jp/a/store-locator/levis-store-fukuoka-tenjin.html,,+81 92-738-2005,81927382005,33.5877126,130.3971654,"H9QW+3V Fukuoka, Japan",Clothing store,4.3,109
Levi's,"Japan, 〒731-5162 Hiroshima, Saeki Ward, Ishiuchihigashi, 4-chome−1−1 THE OUTLETS HIROSHIMA 2nd floor 428 Lot 428","4-chome Ishiuchihigashi, Saeki Ward","Ishiuchihigashi, 4-chome−1−1 THE OUTLETS HIROSHIMA 2nd floor 428 section",Hiroshima,731-5162,Hiroshima,JP,https://levi.jp/a/store-locator/levis-factory-outlet-hiroshima.html,,+81 82-275-4535,81822754535,34.4106548,132.3977318,"C96X+73 Hiroshima, Japan",Clothing store,3.9,89
Levi's,"Japan, 〒812-0018 Fukuoka, Hakata Ward, Sumiyoshi, 1 Chome-2-2-2-22 Canal City Opa 2F","1 Chome Sumiyoshi, Hakata Ward","Sumiyoshi, 1 Chome-2-2-2-No. 22 Canal City Opa 2nd floor",Fukuoka,812-0018,Fukuoka,JP,https://levi.jp/a/store-locator/levis-store-canal-city-hakata.html,,+81 92-710-4501,81927104501,33.5893186,130.4110989,"HCQ6+PC Fukuoka, Japan",Clothing store,4.5,24
Levi's,"6 Chome-23-1 Naka, Hakata Ward, Fukuoka, 812-0893, Japan","6 Chome Naka, Hakata Ward",6 Chome-23-1 Naka,Fukuoka,812-0893,Fukuoka,JP,https://levi.jp/a/store-locator/levis-store-lalaport-fukuoka.html,,+81 92-710-0340,81927100340,33.5645799,130.4398973,"HC7Q+RX Fukuoka, Japan",Clothing store,2.9,20
Levi's THE OUTLET KITAKYUSHU store,"Japan, 〒805-0071 Fukuoka, Kitakyushu, Yahatahigashi Ward, Higashida, 4 Chome−1 1F THE OUTLETS KITAKYUSHU","4 Chome Higashida, Yahatahigashi Ward","Higashida, 4 Chome−1 1F THE OUTLETS KITAKYUSHU",Kitakyushu,805-0071,Fukuoka,JP,https://www.levi.jp/stores?storeName=Levi's%20Store%20%E5%8C%97%E4%B9%9D%E5%B7%9E,,+81 93-883-6665,81938836665,33.8730752,130.8116082,"VRF6+6J Kitakyushu, Fukuoka, Japan",Clothing store,3.8,6
Levi's,"Japan, 〒901-2123 Okinawa, Urasoe, Irijima, 3 Chome, San-E Urasoe West Coast PARCO CITY 2078",3 Chome Irijima,"Irijima, 3 Chome, San-E Urasoe West Coast PARCO CITY 2078",Urasoe,901-2123,Okinawa,JP,https://levi.jp/a/store-locator/levis-store-sane-urasoe-parco-city.html,,+81 98-894-4301,81988944301,26.2617727,127.6978477,"7M6X+P4 Urasoe, Okinawa, Japan",Clothing store,3.7,10
Levi's,"Japan, 〒710-0813 Okayama, Kurashiki, Kotobukicho, 12-3 Mitsui Outlet Park Kurashiki 2F 2260 Lot",Kotobukicho,"Kotobukicho, 12-3 Mitsui Outlet Park Kurashiki 2F 2260 Lot",Kurashiki,710-0813,Okayama,JP,https://www.levi.jp/stores?storeName=Levi's%20Factory%20Outlet%E5%80%89%E6%95%B7,,+81 86-435-7331,81864357331,34.6034182,133.7624301,"JQ36+9X Kurashiki, Okayama, Japan",Clothing store,3.6,91
Levi's,"Japan, 〒135-0064 Tokyo, Koto City, Aomi, 1 Chome−1−10 Tokyo 3rd floor",1 Chome Aomi,"Aomi, 1 Chome−1−10 Tokyo 3rd floor",Koto City,135-0064,Tokyo,JP,https://levi.jp/a/store-locator/levis-store-divercity-tokyo.html,,+81 3-5962-4944,81359624944,35.6247989,139.7758313,"JQFG+W8 Koto City, Tokyo, Japan",Clothing store,4.4,8
Levi's,"Japan, 〒598-0047 Osaka, Izumisano, Rinkuoraiminami, 3-28 Rinku Premium Outlet 2F",Rinkuoraiminami,"Rinkuoraiminami, 3-28 Rinku Premium Outlet 2F",Izumisano,598-0047,Osaka,JP,https://levi.jp/a/store-locator/levis-factory-outlet-rinku.html,,+81 72-458-0480,81724580480,34.4063831,135.2954354,"C74W+H5 Izumisano, Osaka, Japan",Jeans shop,3.7,113
LEVI’S Ueno Store,"4 Chome-7-1 Ueno, Taito City, Tokyo 110-0005, Japan",4 Chome Ueno,4 Chome-7-1 Ueno,Taito City,110-0005,Tokyo,JP,https://levi.jp/a/store-locator/levis-store-ueno.html,,+81 3-3831-0962,81338310962,35.7090559,139.7746199,"PQ5F+JR Taito City, Tokyo, Japan",Clothing store,3.5,113
Levi's,"Japan, 〒841-0005 Saga, Tosu, Yayoigaoka, 8 Chome−8-1 1F Tosu Premium Outlet",8 Chome Yayoigaoka,"Yayoigaoka, 8 Chome−8−1 1F Tosu Premium Outlet",Tosu,841-0005,Saga,JP,https://www.levi.jp/stores?storeName=Levi's%20Factory%20Outlet%E9%B3%A5%E6%A0%96,,+81 942-84-7065,81942847065,33.405826,130.5113545,"CG46+8G Tosu, Saga, Japan",Clothing store,3.7,39
Levi's,"Japan, 〒655-0036 Hyogo, Kobe, Tarumi-ku, Kaigandori, 12-2 Kaigandori 12-2 Mitsui Outlet Park Marine Pier Kobe","Kaigandori, Tarumi-ku","Kaigandori, 12-2 Kaigandori 12-2 Mitsui Outlet Park Marine Pier Kobe",Kobe,655-0036,Hyogo,JP,https://www.levi.jp/stores?storeName=Levi's%20Factory%20Outlet%E7%A5%9E%E6%88%B8,,+81 78-754-5445,81787545445,34.625907,135.0495695,"J2GX+9R Kobe, Hyogo, Japan",Clothing store,3.7,37
LEVI'S Kobe Store,"2 Chome-10-16 Sannomiyacho, Chuo Ward, Kobe, Hyogo 650-0021, Japan","2 Chome Sannomiyacho, Chuo Ward",2 Chome-10-16 Sannomiyacho,Kobe,650-0021,Hyogo,JP,https://levi.jp/a/store-locator/levis-store-kobe.html,,+81 78-332-0119,81783320119,34.6904343,135.1905948,"M5RR+56 Kobe, Hyogo, Japan",Clothing store,3.9,108
Levi's,"Japan, 〒663-8178 Hyogo, Nishinomiya, Koshien 8bancho, 1-100 LaLaport Koshien 1F",Koshien 8bancho,"Koshien 8bancho, 1-100 LaLaport Koshien 1F",Nishinomiya,663-8178,Hyogo,JP,https://levi.jp/a/store-locator/levis-store-koshien.html,,+81 798-78-8226,81798788226,34.716872,135.3639949,"P987+PH Nishinomiya, Hyogo, Japan",Clothing store,3.7,10
Levi's Store Kyoto,"529-1 Higashigawacho, Nakagyo Ward, Kyoto, 604-8046, Japan","Higashigawacho, Nakagyo Ward",529-1 Higashigawacho,Kyoto,604-8046,Kyoto,JP,https://www.levi.jp/stores?storeName=Levi%27s%20Store%E4%BA%AC%E9%83%BD,,+81 75-212-8750,81752128750,35.0053579,135.7669495,"2Q48+4Q Kyoto, Japan",Clothing store,4,112
Levi's,"Japan, 〒254-0031 Kanagawa, Hiratsuka, Amanuma, 10-1 LaLaport Shonan Hiratsuka 2F",Amanuma,"Amanuma, 10-1 LaLaport Shonan Hiratsuka 2F",Hiratsuka,254-0031,Kanagawa,JP,https://levi.jp/a/store-locator/levis-store-lalaport-shonan-hiratsuka.html,,+81 463-79-5002,81463795002,35.3366097,139.3544735,"89P3+JQ Hiratsuka, Kanagawa, Japan",Clothing store,3.7,21
Levi's Osaka Store,"1 Chome-6-8 Nishishinsaibashi, Chuo Ward, Osaka, 542-0086, Japan","1 Chome Nishishinsaibashi, Chuo Ward",1 Chome-6-8 Nishishinsaibashi,Osaka,542-0086,Osaka,JP,https://levi.jp/a/store-locator/levis-store-osaka.html,,+81 6-6241-8134,81662418134,34.67211,135.4993142,"MFCX+RP Osaka, Japan",Clothing store,4.2,226
Levi's Abeno Q’s Mall Store,"1 Chome-6-1 Abenosuji, Abeno Ward, Osaka, 545-0052, Japan","1 Chome Abenosuji, Abeno Ward",1 Chome-6-1 Abenosuji,Osaka,545-0052,Osaka,JP,https://levi.jp/a/store-locator/levis-store-abeno-qs-mall.html,,+81 6-6636-0501,81666360501,34.6455215,135.5117132,"JGW6+6M Osaka, Japan",Clothing store,3.9,29
Levi's,"Japan, 〒452-0817 Aichi, Nagoya, Nishi Ward, Futakatacho, 40 mozo Wonder City 4F","Futakatacho, Nishi Ward","Futakatacho, 40 mozo Wonder City 4F",Nagoya,452-0817,Aichi,JP,https://levi.jp/a/store-locator/levis-store-mozo-wonder-city.html,,+81 52-908-0504,81529080504,35.2249887,136.8837597,"6VFM+XG Nagoya, Aichi, Japan",Clothing store,4.2,17
Levi's LaLaport Yokohama,"4035-1 Ikonobecho, Tsuzuki Ward, Yokohama, Kanagawa 224-0053, Japan","Ikonobecho, Tsuzuki Ward",4035-1 Ikonobecho,Yokohama,224-0053,Kanagawa,JP,https://levi.jp/a/store-locator/levis-lalaport-yokohama.html,,+81 45-933-1234,81459331234,35.5167356,139.566028,"GH88+MC Yokohama, Kanagawa, Japan",Clothing store,3,16
Levi's,"Japan, 〒634-0837 Nara, Kashihara, Magarikawacho, 7 Chome−20-1 Su Mall 1F",7 Chome Magarikawacho,"Magarikawacho, 7 Chome−20−1 Mall 1F",Kashihara,634-0837,Nara,JP,https://levi.jp/a/store-locator/levis-store-aeon-kashihara.html,,+81 744-22-7501,81744227501,34.5055726,135.7627449,"GQ47+63 Kashihara, Nara, Japan",Clothing store,3.7,39
Levi's,"Mitsui Outlet Park Yokohama Bayside A Block 3F 12250, 5-2 Shiraho, Kanazawa-ku, Yokohama, Kanazawa Ward, Yokohama, Kanagawa 236-8886, Japan","Shiraho, Kanazawa Ward",Yokohama City Kanazawa-ku Shiraho 5-2 Mitsui Outlet Park Yokohama Bayside A Block 3F 12250 Lot,Yokohama,236-8886,Kanagawa,JP,https://www.levi.jp/stores?storeName=Levi's%20Factory%20Outlet%E6%A8%AA%E6%B5%9C%E3%83%99%E3%82%A4%E3%82%B5%E3%82%A4%E3%83%89,,+81 45-775-3033,81457753033,35.3797601,139.6462271,"9JHW+WF Yokohama, Kanagawa, Japan",Clothing store,3,24
Levi's Factory Outlet Shonan Hiratsuka,"8-chome-1-1 Okami, Hiratsuka, Kanagawa 254-0012, Japan",8-chome Okami,8-chome-1-1 Okami,Hiratsuka,254-0012,Kanagawa,JP,https://levi.jp/a/store-locator/levis-factory-outlet-hiratsuka.html,,+81 463-20-8877,81463208877,35.3921962,139.3635755,"99R7+VC Hiratsuka, Kanagawa, Japan",Clothing store,4.9,8
Levi's,"Japan, 〒354-0022 Saitama, Fujimi, Yamamuro, 1-1313 LaLaport Fujimi 2F",1 Chome Yamamuro,"Yamamuro, 1-1313 LaLaport Fujimi 2F",Fujimi,354-0022,Saitama,JP,https://levi.jp/a/store-locator/levis-store-lalaport-fujimi.html,,+81 49-255-6150,81492556150,35.8599396,139.5475434,"VG5X+X2 Fujimi, Saitama, Japan",Jeans shop,3.8,11
Levi’s corporate office,"Jingumae Green Terrace, 6 Chome-16-12 Jingumae, Shibuya, Tokyo 150-0001, Japan",6 Chome Jingumae,"Jingumae Green Terrace, 6 Chome-16-12 Jingumae",Shibuya,150-0001,Tokyo,JP,,,,,35.6650779,139.7033955,"MP83+29 Shibuya, Tokyo, Japan",Corporate office,2.7,23
Levi's,"1F, 3 Chome-1-1 Shinmisatorara City, Misato, Saitama 341-0009, Japan",3 Chome Shinmisatorara City,"1F, 3 Chome-1-1 Shinmisatorara City",Misato,341-0009,Saitama,JP,https://levi.jp/a/store-locator/levis-store-lalaport-shinmisato.html,,+81 48-958-8855,81489588855,35.8593523,139.8661169,"VV58+PC Misato, Saitama, Japan",Clothing store,3.6,9
Levi's,"Japan, 〒327-8533 Tochigi, Sano, Koenacho, 2058 Sano Premium Outlet 230 Lot",Koenacho,"Koenacho, 2058 Sano Premium Outlets 230 lots",Sano,327-8533,Tochigi,JP,https://levi.jp/a/store-locator/levis-factory-outlet-sano.html,,+81 283-27-0068,81283270068,36.2914672,139.6048512,"7JR3+HW Sano, Tochigi, Japan",Clothing store,3.8,140
Levi's,"Japan, 〒20190 Shizuoka, Numazu, 2F JP 410-0302 Shizuoka Prefecture Numazu City Higashishiiji character Higashiara 301-3 and others LaLaport Numazu Lot",Higashishiiji,2nd floor JP 410-0302 Shizuoka Numazu City Higashishiiji character Higashiara 301-3 and others LaLaport Numazu Lot,Numazu,20190,Shizuoka,JP,https://levi.jp/a/store-locator/levis-store-lalaport-numazu.html,,+81 55-957-8580,81559578580,35.1192079,138.8405827,"4R9R+M6 Numazu, Shizuoka, Japan",Clothing store,4.4,8
Levi's,"Japan, 〒520-2551 Shiga, Gamo District, Ryuo, Kuzushi, 1178 694",Character Kuzushi,"Kuzushi, 1178 694",Ryuo,520-2551,"Gamo District, Shiga",JP,https://levi.jp/a/store-locator/levis-factory-outlet-ryuo.html,,+81 748-58-0348,81748580348,35.0588394,136.099114,"335X+GJ Ryuo, Shiga, Japan",Clothing store,3.6,52
Levi's,"Japan, 〒509-5127 Gifu, Toki, Tokigaoka, 1 Chome−２",1 Chome Tokigaoka,"Tokigaoka, 1 Chome−２",Toki,509-5127,Gifu,JP,https://levi.jp/a/store-locator/levis-factory-outlet-toki.html,,+81 572-54-8811,81572548811,35.3401211,137.1660018,"85R8+2C Toki, Gifu, Japan",Clothing store,3.2,32
Levi's,"Japan, 〒601-8211 Kyoto, Minami Ward, Kuzetakadacho, 376-1 AEON MALL Katsuragawa 2F","Kuzetakadacho, Minami Ward","Kuzetakadacho, 376-1 AEON MALL Katsuragawa 2F",Kyoto,601-8211,Kyoto,JP,https://levi.jp/a/store-locator/levis-store-aeon-mall-kyoto-katsuragawa.html,,+81 75-925-0707,81759250707,34.9635979,135.708193,"XP75+C7 Kyoto, Japan",Clothing store,4,20
Levi's,"Japan, 〒511-1134 Mie, Kuwana, Nagashimacho Urayasu, 368 Mitsui Outlet Park Jazz Dream Nagashima South Area 2F 2260 Lot",Nagashimacho Urayasu,"Nagashimacho Urayasu, 368 Mitsui Outlet Park Jazz Dream Nagashima South Area 2F 2260 Lot",Kuwana,511-1134,Mie,JP,https://levi.jp/a/store-locator/levis-factory-outlet-nagashima.html,,+81 594-45-8811,81594458811,35.0294978,136.725343,"2PHG+Q4 Kuwana, Mie, Japan",Clothing store,3.3,44
Levi's,"Japan, 〒455-8501 Aichi, Nagoya, Minato Ward, Komei, 2 Chome-3-2 2F LaLaport Nagoya Minato Acruz","2 Chome Komei, Minato Ward","Komei, 2 Chome-3-2 2F LaLaport Nagoya Minato Acrus",Nagoya,455-8501,Aichi,JP,https://levi.jp/a/store-locator/levis-store-lalaport-nagoya-minato-across.html,,+81 52-665-6767,81526656767,35.1084235,136.8839141,"4V5M+9H Nagoya, Aichi, Japan",Clothing store,4.2,10
Levi's,"Japan, 〒565-0826 Osaka, Suita, Senribanpakukoen, 2-1 Expo City 1F",Senribanpakukoen,"Senribanpakukoen, 2-1 Expo City 1F",Suita,565-0826,Osaka,JP,https://levi.jp/a/store-locator/levis-store-lalaport-expo-city.html,,+81 6-6318-9779,81663189779,34.8047807,135.5348393,"RG3M+WW Suita, Osaka, Japan",Clothing store,4.3,7
Levi's,"Japan, 〒591-8008 Osaka, Sakai, Kita Ward, Higashiasakayamacho, 4 Chome−1−12 AEON MALL Sakaikita Hanada 1F","4 Chome Higashiasakayamacho, Kita Ward","Higashiasakayamacho, 4 Chome−1−12 AEON MALL Sakaikita Hanada 1F",Sakai,591-8008,Osaka,JP,https://levi.jp/a/store-locator/levis-store-aeon-mall-sakai-kita-hanada.html,,+81 72-257-1501,81722571501,34.5846054,135.5151138,"HGM8+R2 Sakai, Osaka, Japan",Clothing store,3.9,22
Levi's,"Japan, 〒470-0162 Aichi, Aichi District, Togo, Togo Central Land Readjustment Project 62 Block 1-3 LaLaport Aichi Togo 2F",Kitakengaku Haruki,Togo Central Land Readjustment Project 62 Block 1-3 LaLaport Aichi Togo 2F,Togo,470-0162,"Aichi District, Aichi",JP,https://levi.jp/a/store-locator/levis-store-lalaport-aichi-togo.html,,+81 561-42-8983,81561428983,35.099103,137.0474301,"32XW+JX Togo, Aichi, Japan",Clothing store,3.3,9
Levi's R Store,"9-31 Daitocho, Anjo, Aichi 446-0065, Japan",Daitocho,9-31 Daitocho,Anjo,446-0065,Aichi,JP,,,,,34.966187,137.0795748,"X38H+FR Anjo, Aichi, Japan",Clothing store,3.3,4
Levi's ® Store Nagoya ZERO GATE,"3 Chome-28-11 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan","3 Chome Sakae, Naka Ward",3 Chome-28-11 Sakae,Nagoya,460-0008,Aichi,JP,https://levi.jp/a/store-locator/levis-store-nagoya-zerogate.html,,+81 52-212-7100,81522127100,35.1640937,136.9063551,"5W74+JG Nagoya, Aichi, Japan",Clothing store,3.6,47
Levi’s,"3 Chome-28-7 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan","3 Chome Sakae, Naka Ward",3 Chome-28-7 Sakae,Nagoya,460-0008,Aichi,JP,,,,,35.1641127,136.9066515,"5W74+JM Nagoya, Aichi, Japan",Clothing store,4.6,16
