title,address,neighborhood,street,city,postalCode,countryCode,website,emails,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName,,totalScore,reviewsCount
Levi's® Gretna Green,"Unit 2, Gretna Gateway Outlet Village, Glasgow Rd, Gretna DG16 5GG, United Kingdom",,"Unit 2, Gretna Gateway Outlet Village, Glasgow Rd",Gretna,DG16 5GG,GB,https://locations.levi.com/en-gb/gb-dgy/gretna/denim_gretna_gb-dgy_5231.html,,+44 1461 339729,4.41E+11,54.9971072,-3.0572286,"XWWV+R4 Gretna, United Kingdom",Clothing store,,4.1,73
Levi's® Bridgend,"Unit 19, McArthurGlen Outlet, Derwen, Bridgend CF32 9SU, United Kingdom",,"Unit 19, McArthurGlen Outlet, Derwen",Bridgend,CF32 9SU,GB,https://locations.levi.com/en-gb/gb-bge/bridgend/denim_bridgend_gb-bge_4627.html,,+44 1656 767335,4.42E+11,51.5326058,-3.5755677,"GCMF+2Q Bridgend, United Kingdom",Clothing store,,4.4,332
Levi's® Watford,"Unit 118, Intu, Watford WD17 2UB, United Kingdom",,"Unit 118, Intu",Watford,WD17 2UB,GB,https://locations.levi.com/en-gb/gb-hef/watford/denim_watford_gb-hef_4791.html,,+44 1923 805854,4.42E+11,51.6541167,-0.3928591,"MJ34+JV Watford, United Kingdom",Clothing store,,4.4,90
Levi's® Livingston Designer Village,"Unit 111, Designer Outlet, Almondvale Ave, Livingston EH54 6QX, United Kingdom",,"Unit 111, Designer Outlet, Almondvale Ave",Livingston,EH54 6QX,GB,https://locations.levi.com/en-gb/gb-wln/livingston/denim_livingston_gb-wln_4570.html,,+44 1506 461657,4.42E+11,55.8832656,-3.5192882,"VFMJ+87 Livingston, United Kingdom",Clothing store,,4.3,208
Levi's® Bristol,"Broadmead, Bristol BS1 3BF, United Kingdom",Broadmead,,Bristol,BS1 3BF,GB,https://locations.levi.com/en-gb/gb-bst/templemeads/denim_temple-meads_gb-bst_4060.html,,+44 117 925 8505,4.41E+11,51.4588781,-2.5862083,"FC57+HG Bristol, United Kingdom",Clothing store,,4.5,143
Levi's® Edinburgh Princes Street,"109 Princes St., Edinburgh EH2 3AA, United Kingdom",,109 Princes St.,Edinburgh,EH2 3AA,GB,https://locations.levi.com/en-gb/gb-edh/edinburgh/denim_edinburgh_gb-edh_4056.html,,+44 131 226 3990,4.41E+11,55.9513696,-3.2014374,"XQ2X+GC Edinburgh, United Kingdom",Clothing store,,4.4,223
Levi's Rushden Lakes,"Unit A10, Northampton Rd, Rushden NN10 6FH, United Kingdom",,"Unit A10, Northampton Rd",Rushden,NN10 6FH,GB,https://www.levi.com/,,+44 1933 837083,4.42E+11,52.3003723,-0.6247123,"892G+44 Rushden, United Kingdom",Clothing store,,4.5,59
Levi's® Bicester Village,"Unit 16, Outlet Village, Bicester OX26 6WD, United Kingdom",,"Unit 16, Outlet Village",Bicester,OX26 6WD,GB,https://locations.levi.com/en-gb/gb-oxf/bicester/denim_bicester_gb-oxf_4516.html,,+44 1869 360047,4.42E+11,51.8915485,-1.1549475,"VRRW+J2 Bicester, United Kingdom",Clothing store,,4.3,335
Levi's® Banbridge Boulevard,"Unit 25, Cascum Rd, The Boulevard, Banbridge BT32 4LF, United Kingdom",,"Unit 25, Cascum Rd, The Boulevard",Banbridge,BT32 4LF,GB,https://locations.levi.com/en-gb/gb-bnb/banbridge/denim_banbridge_gb-bnb_5194.html,,+44 28 4062 9320,4.43E+11,54.3308661,-6.2765646,"8PJF+89 Banbridge, United Kingdom",Clothing store,,4.5,33
Levi's® Solihull,"SU12, Touchwood Shopping Centre, Solihull B91 3GZ, United Kingdom",,"SU12, Touchwood Shopping Centre",Solihull,B91 3GZ,GB,https://locations.levi.com/en-gb/gb-sol/solihull/denim_solihull_gb-sol_6046.html,,+44 121 647 9552,4.41E+11,52.4128827,-1.7790426,"C67C+59 Solihull, United Kingdom",Clothing store,,4.5,11
Levi's® Bromley,"Glades Shopping Centre Unit 250, Bromley BR1 1DD, United Kingdom",,Glades Shopping Centre Unit 250,Bromley,BR1 1DD,GB,https://locations.levi.com/en-gb/gb-bry/bromley/denim_bromley_gb-bry_4024.html,,+44 20 8466 0267,4.42E+11,51.4046922,0.016755,"C238+VP Bromley, United Kingdom",Clothing store,,4.5,62
Levi's® Lakeside Centre,"Lakeside Shopping Centre, Unit 241a W Thurrock Way, West Thurrock, Grays RM20 2ZT, United Kingdom",West Thurrock,"Lakeside Shopping Centre, Unit 241a W Thurrock Way",Grays,RM20 2ZT,GB,https://locations.levi.com/en-gb/gb-thr/thurrock/denim_thurrock_gb-thr_4037.html,,+44 1708 681813,4.42E+11,51.4871893,0.2838109,"F7PM+VG Grays, United Kingdom",Clothing store,,4.5,125
Levi's® Oxford,"Unit 34, Queen Street, 250 The Westgate, Oxford OX1 1TR, United Kingdom",,"Unit 34, Queen Street, 250 The Westgate",Oxford,OX1 1TR,GB,https://locations.levi.com/en-gb/gb-oxf/oxford/denim_oxford_gb-oxf_5238.html,,+44 1865 790403,4.42E+11,51.7511591,-1.2605483,"QP2Q+FQ Oxford, United Kingdom",Clothing store,,4.6,49
Levi's® Store Belfast Victoria,"1 Victoria Square, Belfast BT1 4QG, United Kingdom",,1 Victoria Square,Belfast,BT1 4QG,GB,https://www.levi.com/,,+44 28 9024 2955,4.43E+11,54.5986048,-5.925053,"H3XF+CX Belfast, United Kingdom",Clothing store,,3.9,8
Levi's® Cambridge,"Unit SU17 Ground Floor, Grand Arcade, 14 St Andrew's St, Cambridge CB2 3BJ, United Kingdom",,"Unit SU17 Ground Floor, Grand Arcade, 14 St Andrew's St",Cambridge,CB2 3BJ,GB,https://locations.levi.com/en-gb/gb-cam/cambridge/denim_cambridge_gb-cam_4059.html,,+44 1223 321130,4.41E+11,52.2041338,0.12176,"643C+MP Cambridge, United Kingdom",Clothing store,,4.4,156
Levi's® Cardiff,"Unit LG40, 27 Grand Arcade, St Davids Centre, St David's, Cardiff CF10 2EF, United Kingdom","Saint Davids Centre, St David's, Cardiff","Unit LG40, 27 Grand Arcade",Cardiff,CF10 2EF,GB,https://locations.levi.com/en-gb/gb-crf/cardiff/denim_cardiff_gb-crf_5185.html,,+44 29 2039 7443,4.43E+11,51.478958,-3.1748212,"FRHG+H3 Cardiff, United Kingdom",Clothing store,,4.4,45
Levi's® Glasgow Buchanan Street,"36 Buchanan St, Glasgow G1 3JX, United Kingdom",,36 Buchanan St,Glasgow,G1 3JX,GB,https://locations.levi.com/en-gb/gb-glg/glasgow/denim_glasgow_gb-glg_5053.html,,+44 141 248 5065,4.41E+11,55.859108,-4.2544189,"VP5W+J6 Glasgow, UK",Clothing store,,4.4,120
Levi's® Newcastle Metrocentre,"Unit 257 St. Michaels Wy., Metrocentre, Gateshead NE11 9YR, United Kingdom",Metrocentre,Unit 257 St. Michaels Wy.,Gateshead,NE11 9YR,GB,https://locations.levi.com/en-gb/gb-gat/gateshead/denim_gateshead_gb-gat_4040.html,,+44 191 461 1909,4.42E+11,54.956597,-1.6714605,"X84H+JC Gateshead, United Kingdom",Clothing store,,4.3,147
Levi's® Cotswolds,"Designer Outlet, 41-43, Cotswolds, Tewkesbury GL20 7FY, United Kingdom",,"Designer Outlet, 41-43, Cotswolds",Tewkesbury,GL20 7FY,GB,https://locations.levi.com/gb-gls/tewkesbury/denim_tewkesbury_gb-gls_6097.html,,+44 1684 211224,4.42E+11,51.9965963,-2.1135171,"XVWP+JH Tewkesbury, United Kingdom",Clothing store,,5,8
Levi's® Leeds Trinity,"Unit 2.18, Trinity, Leeds LS1 5ER, United Kingdom",,"Unit 2.18, Trinity",Leeds,LS1 5ER,GB,https://locations.levi.com/en-gb/gb-lds/leeds/denim_leeds_gb-lds_5320.html,,+44 113 487 3690,4.41E+11,53.7965889,-1.5435377,"QFW4+JH Leeds, United Kingdom",Clothing store,,4.7,51
Levi's® Swindon Designer Outlet,"Great Western Designer Village, Unit 63 Kemble Dr, Swindon SN2 2DZ, United Kingdom",,"Great Western Designer Village, Unit 63 Kemble Dr",Swindon,SN2 2DZ,GB,https://locations.levi.com/en-gb/gb-swd/swindon/denim_swindon_gb-swd_4519.html,,+44 1793 693339,4.42E+11,51.5631316,-1.7984299,"H672+7J Swindon, United Kingdom",Clothing store,,4.4,328
Levi's® Birmingham Bullring,"Unit 702, Upper Mall West, Birmingham B5 4BU, United Kingdom",,"Unit 702, Upper Mall West",Birmingham,B5 4BU,GB,https://locations.levi.com/en-gb/gb-bir/birmingham/denim_birmingham_gb-bir_4027.html,,+44 121 633 4804,4.41E+11,52.4776446,-1.8944147,"F4H4+36 Birmingham, United Kingdom",Clothing store,,4.4,258
Levi's® Portsmouth,"Unit 13, Portsmouth PO1 3TP, United Kingdom",,Unit 13,Portsmouth,PO1 3TP,GB,https://locations.levi.com/en-gb/gb-por/portsmouth/denim_portsmouth_gb-por_4647.html,,+44 23 9275 5484,4.42E+11,50.7953096,-1.1066191,"QVWV+49 Portsmouth, United Kingdom",Clothing store,,4.3,768
Levi's® Milton Keynes,"unit 22, 67 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,"unit 22, 67 Midsummer Blvd",Milton Keynes,MK9 3GB,GB,https://locations.levi.com/en-gb/gb-mik/centralmiltonkeynes/denim_central-milton-keynes_gb-mik_4049.html,,+44 1908 607715,4.42E+11,52.0405586,-0.757595,"26RR+6X Milton Keynes, United Kingdom",Clothing store,,4.6,170
Levi's® London Regent Street,"176 Regent St., London W1B 5TJ, United Kingdom",,176 Regent St.,London,W1B 5TJ,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_4587.html,,+44 20 7292 2500,4.42E+11,51.5123752,-0.1396812,"GV66+X4 London, United Kingdom",Clothing store,,4.2,1126
Levi's® Guildford,"Unit 5, The Friary, Guildford GU1 4YT, United Kingdom",,"Unit 5, The Friary",Guildford,GU1 4YT,GB,https://locations.levi.com/en-gb/gb-sry/guildford/denim_guildford_gb-sry_5080.html,,+44 1483 570233,4.41E+11,51.236583,-0.5761442,"6CPF+JG Guildford, United Kingdom",Clothing store,,4.5,123
Levi's® Nottingham Victoria Centre,"Unit 156, 1 Milton St, Nottingham NG1 3QE, United Kingdom",,"Unit 156, 1 Milton St",Nottingham,NG1 3QE,GB,https://locations.levi.com/en-gb/gb-ngm/nottingham/denim_nottingham_gb-ngm_4050.html,,+44 115 950 1655,4.41E+11,52.9562283,-1.146722,"XV43+F8 Nottingham, United Kingdom",Clothing store,,4.6,141
Levi's® Glasgow Buchanan Galleries,"Unit L45 Level 3, Buchanan Galleries, 220 Buchanan St, Glasgow G1 2GF, United Kingdom",,"Unit L45 Level 3, Buchanan Galleries, 220 Buchanan St",Glasgow,G1 2GF,GB,https://locations.levi.com/en-gb/gb-glg/glasgow/denim_glasgow_gb-glg_4058.html,,+44 141 332 7139,4.41E+11,55.8641192,-4.2518068,"VP7X+J7 Glasgow, UK",Clothing store,,4.4,187
Levi's® Newcastle Eldon Square,"Intu, 22 Blackett St, Eldon Square, Newcastle upon Tyne NE1 7JG, United Kingdom",,"Intu, 22 Blackett St, Eldon Square",Newcastle upon Tyne,NE1 7JG,GB,https://locations.levi.com/en-gb/gb-net/newcastleupontyne/denim_newcastle-upon-tyne_gb-net_4053.html,,+44 191 261 6391,4.42E+11,54.9739875,-1.6132139,"X9FP+HP Newcastle upon Tyne, UK",Clothing store,,4,69
Levi's® Aberdeen,"Union Square, Aberdeen AB11 5RG, United Kingdom",,Union Square,Aberdeen,AB11 5RG,GB,https://locations.levi.com/en-gb/gb-abe/aberdeen/denim_aberdeen_gb-abe_5237.html,,+44 1224 590113,4.41E+11,57.143541,-2.097063,"4WV3+C5 Aberdeen, United Kingdom",Clothing store,,4.4,20
Levi's® London Lot 1,"40 Great Marlborough St, Carnaby, London W1F 7JQ, United Kingdom",Carnaby,40 Great Marlborough St,London,W1F 7JQ,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_5280.html,,+44 20 7851 0524,4.42E+11,51.5142209,-0.1391439,"GV76+M8 London, United Kingdom",Clothing store,,4.8,59
Levi's® Southampton,"Unit 32, West Quay Shopping Centre, Southampton SO15 1QE, United Kingdom",,"Unit 32, West Quay Shopping Centre",Southampton,SO15 1QE,GB,https://locations.levi.com/en-gb/gb-sth/southampton/denim_southampton_gb-sth_4048.html,,+44 23 8022 3731,4.42E+11,50.9038612,-1.4074737,"WH3V+G2 Southampton, United Kingdom",Clothing store,,4.3,157
Levi's® Edinburgh St James,"Saint James Square, Edinburgh EH1 3AD, United Kingdom",,Saint James Square,Edinburgh,EH1 3AD,GB,https://locations.levi.com/en-gb/gb-edh/edinburgh/denim_edinburgh_gb-edh_6004.html,,+44 131 202 2384,4.41E+11,55.9544121,-3.1880583,"XR36+QQ Edinburgh, United Kingdom",Clothing store,,4.2,39
Levi's® London St. Pancras,"unit 8A, St Pancras Station, Euston Rd., London N1C 4QP, United Kingdom",,"unit 8A, St Pancras Station, Euston Rd.",London,N1C 4QP,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_5458.html,,+44 20 3370 6268,4.42E+11,51.5310608,-0.1261931,"GVJF+CG London, United Kingdom",Clothing store,,4.2,54
Levi's® York Ousegate,"17-18 High Ousegate, York YO1 8RX, United Kingdom",,17-18 High Ousegate,York,YO1 8RX,GB,https://locations.levi.com/en-gb/gb-yor/york/denim_york_gb-yor_4029.html,,+44 1904 622251,4.42E+11,53.9580756,-1.0812249,"XW59+6G York, UK",Clothing store,,4.6,88
Levi's® Liverpool One,"Unit 94, One, Levis, 24 Paradise St, Liverpool L1 8JF, United Kingdom",,"Unit 94, One, Levis, 24 Paradise St",Liverpool,L1 8JF,GB,https://locations.levi.com/en-gb/gb-liv/liverpool/denim_liverpool_gb-liv_4790.html,,+44 151 708 5251,4.42E+11,53.4037846,-2.9864256,"C237+GC Liverpool, United Kingdom",Clothing store,,4.4,140
Levi's® London Covent Garden,"119 Long Acre, London WC2E 9JD, United Kingdom",,119 Long Acre,London,WC2E 9JD,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_4034.html,,+44 20 7240 1443,4.42E+11,51.5128143,-0.1251312,"GV7F+4W London, United Kingdom",Clothing store,,4.2,234
Levi's® York South Mall,"Unit 62-63, South Mall Outlet, York YO19 4TA, United Kingdom",,"Unit 62-63, South Mall Outlet",York,YO19 4TA,GB,https://locations.levi.com/en-gb/gb-yor/york/denim_york_gb-yor_4466.html,,+44 1904 679950,4.42E+11,53.9221532,-1.0774747,"WWCF+V2 Fulford, York, UK",Clothing store,,4.3,315
Levi's® Cannock Designer Outlet,"Unit 32-33, West Midlands designer Outlet Centre, Eastern Way, Cannock WS11 7JZ, United Kingdom",,"Unit 32-33, West Midlands designer Outlet Centre, Eastern Way",Cannock,WS11 7JZ,GB,https://locations.levi.com/en-gb/gb-sts/cannock/denim_cannock_gb-sts_5273.html,,+44 1543 399630,4.42E+11,52.6887564,-2.0158892,"MXQM+GJ Cannock, United Kingdom",Clothing store,,4.4,78
Levi's® Braintree Outlet,"Charter Way, Braintree CM77 8YH, United Kingdom",,Charter Way,Braintree,CM77 8YH,GB,https://locations.levi.com/en-gb/gb-ess/braintree/denim_braintree_gb-ess_4688.html,,+44 1376 327172,4.41E+11,51.8697038,0.5717984,"VH9C+VP Braintree, United Kingdom",Clothing store,,4.5,276
Levi's® Chester Cheshire Oaks,"Unit 6A Cheshire Oaks Way, Ellesmere Port CH65 9JJ, United Kingdom",,Unit 6A Cheshire Oaks Way,Ellesmere Port,CH65 9JJ,GB,https://locations.levi.com/en-gb/gb-chw/littlestanney/denim_little-stanney_gb-chw_4609.html,,+44 151 355 2807,4.42E+11,53.2654207,-2.8820705,"7489+55 Ellesmere Port, United Kingdom",Clothing store,,4.4,625
Levi's® London Wembley Outlet,"unit 76 Wembley Park Blvd, London HA9 0QL, United Kingdom",,unit 76 Wembley Park Blvd,London,HA9 0QL,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_4463.html,,+44 20 8903 8884,4.42E+11,51.5570151,-0.2837197,"HP48+RG Wembley, United Kingdom",Clothing store,,4.4,494
Levi's® Sheffield,"60 High Street, Meadowhall Centre, Meadowhall, Sheffield S9 1EN, United Kingdom",Meadowhall,"60 High Street, Meadowhall Centre",Sheffield,S9 1EN,GB,https://locations.levi.com/en-gb/gb-shf/sheffield/denim_sheffield_gb-shf_4057.html,,+44 114 256 8398,4.41E+11,53.4142376,-1.4118759,"CH7Q+M6 Sheffield, United Kingdom",Clothing store,,4.1,145
Levi's® Brighton,"Unit 72-74, Churchill Square Shopping Centre, Brighton and Hove, Brighton BN1 2RG, United Kingdom",Brighton and Hove,"Unit 72-74, Churchill Square Shopping Centre",Brighton,BN1 2RG,GB,https://locations.levi.com/en-gb/gb-esx/brighton/denim_brighton_gb-esx_4571.html,,+44 1273 722609,4.41E+11,50.822623,-0.1455925,"RVF3+2Q Brighton, United Kingdom",Clothing store,,4.4,164
Levi's® London Carnaby Street,"51 Carnaby St, Carnaby, London W1F 9QB, United Kingdom",Carnaby,51 Carnaby St,London,W1F 9QB,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_4026.html,,+44 20 7287 0629,4.42E+11,51.5126201,-0.1383896,"GV76+2J London, United Kingdom",Clothing store,,4.3,185
Levi's® Exeter,"SU11, 25 Princesshay, Exeter EX1 1GE, United Kingdom",,"SU11, 25 Princesshay",Exeter,EX1 1GE,GB,https://locations.levi.com/en-gb/gb-dev/exeter/denim_exeter_gb-dev_5236.html,,+44 1392 432970,4.41E+11,50.72452,-3.5278028,"PFFC+RV Exeter, United Kingdom",Clothing store,,4.4,87
Levi's® Gloucester Quays,"Unit 8-9, Gloucester Quays Designer Outlet, St Ann Way, Gloucester GL1 5SH, United Kingdom",,"Unit 8-9, Gloucester Quays Designer Outlet, St Ann Way",Gloucester,GL1 5SH,GB,https://locations.levi.com/en-gb/gb-gls/gloucester/denim_gloucester_gb-gls_4465.html,,+44 1452 521270,4.41E+11,51.8593636,-2.2524933,"VP5X+P2 Gloucester, United Kingdom",Clothing store,,4.3,140
Levi's® Bath,"Southgate Centre, Unit 6 St Lawrence St, Bath BA1 1AN, United Kingdom",,"Southgate Centre, Unit 6 St Lawrence St",Bath,BA1 1AN,GB,https://locations.levi.com/en-gb/gb-bas/bath/denim_bath_gb-bas_5319.html,,+44 1225 939880,4.41E+11,51.37927,-2.3588218,"9JHR+PF Bath, United Kingdom",Clothing store,,4.5,30
Levi's® Birmingham Resorts World,"Unit 20, Resorts World, Pendigo Way, Marston Green, Birmingham B40 1PU, United Kingdom",Marston Green,"Unit 20, Resorts World, Pendigo Way",Birmingham,B40 1PU,GB,https://locations.levi.com/en-gb/gb-bir/birmingham/denim_birmingham_gb-bir_4007.html,,+44 121 782 8898,4.41E+11,52.4472206,-1.7177361,"C7WJ+VW Birmingham, United Kingdom",Clothing store,,4.2,180
Levi's® Mansfield Derbyshire,"Unit 58, East Midlands Designer Outlet, Mansfield Rd, Alfreton DE55 2JW, United Kingdom",,"Unit 58, East Midlands Designer Outlet, Mansfield Rd",Alfreton,DE55 2JW,GB,https://locations.levi.com/en-gb/gb-dby/derbyshire/denim_derbyshire_gb-dby_4504.html,,+44 1623 397049,4.42E+11,53.1068,-1.3115829,"4M4Q+P9 Alfreton, United Kingdom",Clothing store,,4.2,639
Levi's® London O2 Arena,"Unit 9.1.1, ICON Centre, The Millennium Dome Millennium Way, Peninsula Square, London SE10 0DX, United Kingdom",,"Unit 9.1.1, ICON Centre, The Millennium Dome Millennium Way, Peninsula Square",London,SE10 0DX,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_5088.html,,+44 20 8305 2375,4.42E+11,51.5035159,0.0014538,"G232+CH London, United Kingdom",Clothing store,,4.2,128
Levi's® Bluewater,"Bluewater Centre, Dartford, Greenhithe DA9 9SH, United Kingdom",Dartford,Bluewater Centre,Greenhithe,DA9 9SH,GB,https://locations.levi.com/en-gb/gb-ken/greenhithe/denim_greenhithe_gb-ken_4484.html,,+44 1322 624871,4.41E+11,51.4385707,0.2725309,"C7QF+C2 Greenhithe, United Kingdom",Clothing store,,4.4,200
Levi's® Ashford Designer Village,"Designer Village, 77-79 Kimberley Way, Ashford TN24 0SD, United Kingdom",,"Designer Village, 77-79 Kimberley Way",Ashford,TN24 0SD,GB,https://locations.levi.com/en-gb/gb-ken/ashford/denim_ashford_gb-ken_4547.html,,+44 1233 634111,4.41E+11,51.1376103,0.8781456,"4VQH+27 Ashford, United Kingdom",Clothing store,,4.4,520
Levi's® Norwich,"Unit 14 235, Merchants Hall, Upper Ground, Norwich NR1 3SH, United Kingdom",,"Unit 14 235, Merchants Hall, Upper Ground",Norwich,NR1 3SH,GB,https://locations.levi.com/en-gb/gb-nfk/norwich/denim_norwich_gb-nfk_4632.html,,+44 1603 660738,4.42E+11,52.6259699,1.2894532,"J7GQ+9Q Norwich, UK",Clothing store,,4.1,119
Levi's® Reading,"The Oracle, Unit L8 River Rd, Reading RG1 2AG, United Kingdom",,"The Oracle, Unit L8 River Rd",Reading,RG1 2AG,GB,https://locations.levi.com/en-gb/gb-rdg/reading/denim_reading_gb-rdg_5121.html,,+44 118 958 9208,4.41E+11,51.4536968,-0.9707129,"F23H+FP Reading, United Kingdom",Clothing store,,4.3,108
Levi's® Store Bristol Park Street,"81 Park St, St Augustines, Bristol BS1 5PF, United Kingdom","St Augustines, Bristol",81 Park St,Bristol,BS1 5PF,GB,https://www.levi.com/,,+44 117 927 7404,4.41E+11,51.455309,-2.604048,"F94W+49 Bristol, United Kingdom",Clothing store,,4.1,15
Levi's® Bracknell,"12 The Avenue, Bracknell RG12 1BD, United Kingdom",,12 The Avenue,Bracknell,RG12 1BD,GB,https://locations.levi.com/en-gb/gb-brc/bracknell/denim_bracknell_gb-brc_5652.html,,+44 1344 202558,4.41E+11,51.417588,-0.7502102,"C69X+2W Bracknell, United Kingdom",Clothing store,,5,7
Levi's® Kingston,"Bentalls Shopping Centre F5A, Wood St, Kingston upon Thames KT1 1TP, United Kingdom",,"Bentalls Shopping Centre F5A, Wood St",Kingston upon Thames,KT1 1TP,GB,https://locations.levi.com/en-gb/gb-ktt/kingstonuponthames/denim_kingston-upon-thames_gb-ktt_6069.html,,+800 5384 7501,80053847501,51.4108737,-0.3053346,"CM6V+8V Kingston upon Thames, United Kingdom",Clothing store,,3.7,15
Levi's® London Brompton Road,"61 Brompton Rd, London SW3 1DP, United Kingdom",,61 Brompton Rd,London,SW3 1DP,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_5639.html,,+44 20 4603 6120,4.42E+11,51.5005716,-0.1620326,"GR2Q+65 London, United Kingdom",Clothing store,,4.3,41
Levi's® Westfield Stratford,"Unit 1023A, Westfield stratford city, London E20 1EJ, United Kingdom",,"Unit 1023A, Westfield stratford city",London,E20 1EJ,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_4461.html,,+44 20 8555 3291,4.42E+11,51.5443374,-0.0063196,"GXVV+PF London, United Kingdom",Clothing store,,4.2,246
Levi's® White City,"1 Ariel Way, London W12 7GG, United Kingdom",,1 Ariel Way,London,W12 7GG,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_4586.html,,+44 20 8749 5400,4.42E+11,51.5079213,-0.2212837,"GQ5H+5F London, United Kingdom",Clothing store,,4.3,242
